2020-04-09 12:34:25, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	3e-06, 	1.511, 	2.99e-06, 	0.71754319, 	0.334448%, 	0.240000%, 	0.094448%
2020-04-09 12:34:40, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	3e-06, 	1.511, 	2.99e-06, 	0.71754319, 	0.334448%, 	0.240000%, 	0.094448%
2020-04-09 12:34:55, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	3e-06, 	1.511, 	2.99e-06, 	0.71754319, 	0.334448%, 	0.240000%, 	0.094448%
2020-04-09 12:35:10, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	3e-06, 	1.511, 	2.99e-06, 	0.71754319, 	0.334448%, 	0.240000%, 	0.094448%
2020-04-09 12:35:25, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	3e-06, 	1.511, 	3e-06, 	9759.17523466, 	0.000000%, 	0.240000%, 	-0.240000%
2020-04-10 05:20:47, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	29974.15306898, 	1.048951%, 	0.240000%, 	0.808951%
2020-04-10 05:21:02, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	29974.15306898, 	1.048951%, 	0.240000%, 	0.808951%
2020-04-10 05:21:17, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	29974.15306898, 	1.048951%, 	0.240000%, 	0.808951%
2020-04-10 05:21:32, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	29974.15306898, 	1.048951%, 	0.240000%, 	0.808951%
2020-04-10 05:21:47, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	29974.15306898, 	1.048951%, 	0.240000%, 	0.808951%
2020-04-10 05:22:02, 	OKEX        , 	Poloniex    , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	29974.15306898, 	1.048951%, 	0.240000%, 	0.808951%
