2020-04-08 18:23:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:23:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:23:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:29:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:29:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:29:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014431, 	133.07759999, 	-0.214815%, 	0.240000%, 	-0.454815%
2020-04-10 16:42:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	2.24874421, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 16:42:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	2.24874421, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 16:42:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014124, 	1.88441977, 	-0.169924%, 	0.240000%, 	-0.409924%
2020-04-10 16:47:40, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:47:55, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:48:10, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:48:25, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:48:40, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:48:55, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:49:10, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:49:25, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:49:40, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:49:55, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:50:10, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:50:25, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:50:40, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:50:55, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:51:10, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:51:25, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:51:40, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:51:55, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:52:10, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:52:25, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:52:40, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:52:55, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:53:10, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:53:25, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:53:40, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:53:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:54:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:54:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:54:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:54:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:55:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:55:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:55:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:55:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:56:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:56:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:56:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:56:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:57:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:57:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014019, 	7.9609, 	0.577787%, 	0.240000%, 	0.337787%
2020-04-10 16:57:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014059, 	863.0, 	0.291628%, 	0.240000%, 	0.051628%
2020-04-10 16:57:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014059, 	863.0, 	0.291628%, 	0.240000%, 	0.051628%
2020-04-10 16:58:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014059, 	863.0, 	0.291628%, 	0.240000%, 	0.051628%
2020-04-10 16:58:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 16:58:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 16:58:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 16:59:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014059, 	863.0, 	0.291628%, 	0.240000%, 	0.051628%
2020-04-10 16:59:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 16:59:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014059, 	863.0, 	0.291628%, 	0.240000%, 	0.051628%
2020-04-10 16:59:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	818.0, 	0.298762%, 	0.240000%, 	0.058762%
2020-04-10 17:00:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014124, 	1.88441977, 	-0.169924%, 	0.240000%, 	-0.409924%
2020-04-10 17:03:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:03:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:03:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:03:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:04:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:04:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:04:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:04:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:05:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:05:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:05:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:05:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:06:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:06:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:06:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.15093771, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:06:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:07:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.15093771, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:07:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:07:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
