2020-04-07 21:57:21, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.74e-06, 	670.9852614, 	4.73e-06, 	23.04004194, 	0.211416%, 	0.190000%, 	0.021416%
2020-04-07 21:57:51, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.74e-06, 	670.9852614, 	4.74e-06, 	23.04004194, 	0.000000%, 	0.190000%, 	-0.190000%
2020-04-07 23:22:23, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-07 23:22:53, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-07 23:23:23, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-07 23:23:53, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-07 23:24:23, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.71e-06, 	72.70400573, 	0.424628%, 	0.190000%, 	0.234628%
2020-04-07 23:24:54, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-07 23:25:24, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-07 23:25:54, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.71e-06, 	72.70400573, 	0.424628%, 	0.190000%, 	0.234628%
2020-04-07 23:26:24, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.71e-06, 	72.70400573, 	0.424628%, 	0.190000%, 	0.234628%
2020-04-07 23:26:54, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.71e-06, 	72.70400573, 	0.424628%, 	0.190000%, 	0.234628%
2020-04-07 23:27:24, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.71e-06, 	72.70400573, 	0.424628%, 	0.190000%, 	0.234628%
2020-04-07 23:27:54, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.75e-06, 	72.70400573, 	-0.421053%, 	0.190000%, 	-0.611053%
2020-04-08 00:15:18, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-08 00:15:48, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-08 00:16:18, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-08 00:16:48, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-08 00:17:18, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-08 00:17:48, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-08 00:18:18, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.72e-06, 	72.70400573, 	0.211864%, 	0.190000%, 	0.021864%
2020-04-08 00:18:48, 	Poloniex    , 	Binance     , 	ARDR/BTC, 	4.73e-06, 	97.52192315, 	4.73e-06, 	72.70400573, 	0.000000%, 	0.190000%, 	-0.190000%
