2020-04-09 22:07:18, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001431, 	45.13, 	0.223620%, 	0.190000%, 	0.033620%
2020-04-09 22:07:33, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001431, 	745.41, 	0.223620%, 	0.190000%, 	0.033620%
2020-04-09 22:07:48, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001431, 	745.41, 	0.223620%, 	0.190000%, 	0.033620%
2020-04-09 22:08:03, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:08:18, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:08:33, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:08:48, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:09:03, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:09:18, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:09:33, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:09:48, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:10:03, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:10:18, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:10:33, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	46.18, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:10:48, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:11:03, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:11:18, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:11:33, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:11:48, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:12:03, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:12:18, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:12:33, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	45.14, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:12:48, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	43.31, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:13:03, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	43.31, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:13:18, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.0001429, 	43.31, 	0.363891%, 	0.190000%, 	0.173891%
2020-04-09 22:13:33, 	Poloniex    , 	Binance     , 	LSK/BTC, 	0.00014245, 	0.80940709, 	0.000143, 	45.1, 	-0.384615%, 	0.190000%, 	-0.574615%
