2020-04-11 16:31:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:31:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:32:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:32:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:32:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:32:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:33:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:33:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:33:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:33:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:34:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:34:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:34:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:34:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:35:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:35:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:35:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:35:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:36:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:36:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:36:44, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:36:59, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:37:14, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
2020-04-11 16:37:29, 	Poloniex    , 	Binance     , 	OMG/BTC, 	8.157e-05, 	385.48620125, 	8.14e-05, 	0.01, 	0.208845%, 	0.190000%, 	0.018845%
