2020-04-07 22:16:57, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001407, 	19.4, 	0.385928%, 	0.190000%, 	0.195928%
2020-04-07 22:17:27, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001407, 	19.4, 	0.385928%, 	0.190000%, 	0.195928%
2020-04-07 22:17:57, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001407, 	19.4, 	0.385928%, 	0.190000%, 	0.195928%
2020-04-07 22:18:27, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001407, 	54.407241, 	0.385928%, 	0.190000%, 	0.195928%
2020-04-07 22:18:57, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001407, 	19.4, 	0.385928%, 	0.190000%, 	0.195928%
2020-04-07 22:19:27, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001407, 	19.4, 	0.385928%, 	0.190000%, 	0.195928%
2020-04-07 22:19:57, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001408, 	19.4, 	0.314631%, 	0.190000%, 	0.124631%
2020-04-07 22:20:27, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001408, 	19.4, 	0.314631%, 	0.190000%, 	0.124631%
2020-04-07 22:20:57, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001408, 	74.805539, 	0.314631%, 	0.190000%, 	0.124631%
2020-04-07 22:21:27, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00141243, 	3.38e-06, 	0.001411, 	19.4, 	0.101347%, 	0.190000%, 	-0.088653%
2020-04-09 06:07:02, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	4.629, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:07:17, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	4.629, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:07:32, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	4.629, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:07:47, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	4.629, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:08:02, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	200.0, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:08:17, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	204.912, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:08:32, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	204.912, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:08:47, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00140154, 	0.00041346, 	0.001396, 	204.912, 	0.396848%, 	0.190000%, 	0.206848%
2020-04-09 06:09:02, 	Poloniex    , 	Binance     , 	REP/BTC, 	0.00139724, 	0.00041346, 	0.001395, 	4.378, 	0.160573%, 	0.190000%, 	-0.029427%
