2020-04-07 23:50:18, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.445e-05, 	5.1, 	2.435e-05, 	64.0, 	0.410678%, 	0.190000%, 	0.220678%
2020-04-07 23:50:48, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.445e-05, 	5.1, 	2.431e-05, 	64.0, 	0.575895%, 	0.190000%, 	0.385895%
2020-04-07 23:51:18, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.445e-05, 	5.1, 	2.434e-05, 	64.0, 	0.451931%, 	0.190000%, 	0.261931%
2020-04-07 23:51:48, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.445e-05, 	5.1, 	2.425e-05, 	64.0, 	0.824742%, 	0.190000%, 	0.634742%
2020-04-07 23:52:18, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.433e-05, 	5234.9299213, 	2.425e-05, 	64.0, 	0.329897%, 	0.190000%, 	0.139897%
2020-04-07 23:52:48, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.433e-05, 	4947.9299213, 	2.425e-05, 	64.0, 	0.329897%, 	0.190000%, 	0.139897%
2020-04-07 23:53:18, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.433e-05, 	4947.9299213, 	2.425e-05, 	64.0, 	0.329897%, 	0.190000%, 	0.139897%
2020-04-07 23:53:48, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.433e-05, 	4776.9299213, 	2.425e-05, 	64.0, 	0.329897%, 	0.190000%, 	0.139897%
2020-04-07 23:54:18, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.433e-05, 	4776.9299213, 	2.424e-05, 	64.0, 	0.371287%, 	0.190000%, 	0.181287%
2020-04-07 23:54:48, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.433e-05, 	4776.9299213, 	2.425e-05, 	64.0, 	0.329897%, 	0.190000%, 	0.139897%
2020-04-07 23:55:18, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.433e-05, 	4776.9299213, 	2.425e-05, 	64.0, 	0.329897%, 	0.190000%, 	0.139897%
