2020-04-10 10:48:05, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	291.77, 	0.590319%, 	0.290000%, 	0.300319%
2020-04-10 10:48:20, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	6.75e-05, 	1.615824, 	6.776e-05, 	291.77, 	-0.383707%, 	0.290000%, 	-0.673707%
2020-04-11 16:36:26, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.009e-05, 	283.7281884, 	0.570695%, 	0.290000%, 	0.280695%
2020-04-11 16:37:49, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.009e-05, 	283.7281884, 	0.570695%, 	0.290000%, 	0.280695%
2020-04-11 16:38:04, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.009e-05, 	283.7281884, 	0.570695%, 	0.290000%, 	0.280695%
2020-04-11 16:38:19, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:39:29, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:39:44, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:39:59, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:41:11, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:41:26, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
