2020-04-11 11:16:23, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:16:38, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:16:53, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:17:08, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:17:23, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:17:38, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:17:53, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:18:08, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:18:23, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:18:38, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:18:53, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:19:08, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:19:23, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173526, 	0.00069509, 	0.00172686, 	7.98217512, 	0.486432%, 	0.340000%, 	0.146432%
2020-04-11 11:19:38, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:19:53, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:20:08, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:20:23, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:20:38, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:20:53, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:21:08, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:21:24, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:21:39, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:21:54, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:22:09, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:22:24, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:22:39, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:22:54, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:23:09, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:23:24, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:23:39, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:23:54, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:24:09, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:24:24, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:24:39, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
2020-04-11 11:24:54, 	Poloniex    , 	Bittrex     , 	DCR/BTC, 	0.00173429, 	0.35319558, 	0.00172686, 	7.98217512, 	0.430261%, 	0.340000%, 	0.090261%
