2020-04-08 17:05:19, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.226e-05, 	15.58870745, 	7.2e-05, 	24.36477549, 	0.361111%, 	0.340000%, 	0.021111%
2020-04-08 17:05:34, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.226e-05, 	15.58870745, 	7.2e-05, 	24.36477549, 	0.361111%, 	0.340000%, 	0.021111%
2020-04-08 17:05:49, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.226e-05, 	15.58870745, 	7.2e-05, 	24.36477549, 	0.361111%, 	0.340000%, 	0.021111%
2020-04-08 17:06:04, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.226e-05, 	15.58870745, 	7.2e-05, 	24.36477549, 	0.361111%, 	0.340000%, 	0.021111%
2020-04-08 17:06:19, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.2e-05, 	24.36477549, 	0.152778%, 	0.340000%, 	-0.187222%
2020-04-08 17:15:19, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.182e-05, 	522.20711023, 	0.403787%, 	0.340000%, 	0.063787%
2020-04-08 17:15:34, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.179e-05, 	154.8205489, 	0.445745%, 	0.340000%, 	0.105745%
2020-04-08 17:15:49, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.176e-05, 	401.94933125, 	0.487737%, 	0.340000%, 	0.147737%
2020-04-08 17:16:04, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.175e-05, 	101.4834, 	0.501742%, 	0.340000%, 	0.161742%
2020-04-08 17:16:19, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.175e-05, 	247.63724615, 	0.501742%, 	0.340000%, 	0.161742%
2020-04-08 17:16:34, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.175e-05, 	247.63724615, 	0.501742%, 	0.340000%, 	0.161742%
2020-04-08 17:16:49, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.175e-05, 	191.92941461, 	0.501742%, 	0.340000%, 	0.161742%
2020-04-08 17:17:04, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.175e-05, 	191.92941461, 	0.501742%, 	0.340000%, 	0.161742%
2020-04-08 17:17:19, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.175e-05, 	191.92941461, 	0.501742%, 	0.340000%, 	0.161742%
2020-04-08 17:17:34, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.175e-05, 	191.92941461, 	0.501742%, 	0.340000%, 	0.161742%
2020-04-08 17:17:49, 	Poloniex    , 	Bittrex     , 	GRIN/BTC, 	7.211e-05, 	5.529349, 	7.215e-05, 	236.35666874, 	-0.055440%, 	0.340000%, 	-0.395440%
