2020-04-07 23:17:46, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.16408061, 	16.1714012, 	165.0, 	1688.67753887, 	0.705503%, 	0.590000%, 	0.115503%
2020-04-07 23:18:16, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.0553139, 	3.79637331, 	164.99, 	117.11866894, 	0.645684%, 	0.590000%, 	0.055684%
2020-04-07 23:18:46, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.19347598, 	31.76985982, 	165.0, 	75.04778249, 	0.723319%, 	0.590000%, 	0.133319%
2020-04-07 23:19:16, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.03854754, 	45.1577, 	166.0, 	1.63122053, 	0.023221%, 	0.590000%, 	-0.566779%
2020-04-07 23:25:41, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.19098357, 	8.01092557, 	165.0, 	1751.82386847, 	0.721808%, 	0.590000%, 	0.131808%
2020-04-07 23:26:11, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.19098365, 	8.01092557, 	165.0, 	1690.51532302, 	0.721808%, 	0.590000%, 	0.131808%
2020-04-07 23:26:41, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.19098346, 	27.028, 	165.89, 	1.872, 	0.181436%, 	0.590000%, 	-0.408564%
2020-04-07 23:29:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	165.4447214, 	32.23862605, 	164.0, 	1525.41131156, 	0.880928%, 	0.590000%, 	0.290928%
2020-04-07 23:30:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	165.44472148, 	32.23862605, 	164.0, 	1301.14898885, 	0.880928%, 	0.590000%, 	0.290928%
2020-04-07 23:30:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	165.46472163, 	32.23862605, 	164.0, 	951.89974174, 	0.893123%, 	0.590000%, 	0.303123%
2020-04-07 23:31:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	165.55295316, 	32.48281871, 	164.0, 	223.70004403, 	0.946923%, 	0.590000%, 	0.356923%
2020-04-07 23:31:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	165.95200661, 	0.49729426, 	164.0, 	2467.55193928, 	1.190248%, 	0.590000%, 	0.600248%
2020-04-07 23:32:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.42370948, 	22.90492155, 	164.0, 	303.15561849, 	1.477872%, 	0.590000%, 	0.887872%
2020-04-07 23:32:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.53720998, 	4.8, 	165.4, 	60.75891658, 	0.687551%, 	0.590000%, 	0.097551%
2020-04-07 23:33:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.8925451, 	1.892, 	165.4, 	18.80332889, 	0.902385%, 	0.590000%, 	0.312385%
2020-04-07 23:33:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.8918384, 	26.748, 	164.0, 	1161.17841497, 	1.763316%, 	0.590000%, 	1.173316%
2020-04-07 23:34:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.74311115, 	15.28729426, 	164.0, 	533.76041822, 	1.672629%, 	0.590000%, 	1.082629%
2020-04-07 23:34:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.52978695, 	15.33729426, 	164.0, 	320.17295857, 	1.542553%, 	0.590000%, 	0.952553%
2020-04-07 23:35:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.55179906, 	16.728, 	164.0, 	262.44619784, 	1.555975%, 	0.590000%, 	0.965975%
2020-04-07 23:35:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.39302276, 	16.748, 	164.0, 	218.44619784, 	1.459160%, 	0.590000%, 	0.869160%
2020-04-07 23:36:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.45356771, 	16.748, 	164.0, 	60.58219784, 	1.496078%, 	0.590000%, 	0.906078%
2020-04-07 23:36:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.67849205, 	4.98e-06, 	165.38, 	1.878, 	0.785157%, 	0.590000%, 	0.195157%
2020-04-07 23:37:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.58278127, 	4.98e-06, 	165.38, 	1.878, 	0.727283%, 	0.590000%, 	0.137283%
2020-04-07 23:37:51, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.53038883, 	1.887, 	165.39, 	85.37889105, 	0.689515%, 	0.590000%, 	0.099515%
2020-04-07 23:38:21, 	Poloniex    , 	Coinbase Pro, 	ETH/USDC, 	166.32091569, 	1.887, 	165.37, 	1.878, 	0.575023%, 	0.590000%, 	-0.014977%
