2020-04-09 04:51:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:51:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:51:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:52:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:52:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:52:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:52:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:53:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:53:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.988e-07, 	257383.111, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-09 04:53:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1183196.3809781, 	1.989e-07, 	257383.111, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 04:53:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	1143324.1809781, 	1.989e-07, 	257383.111, 	0.553042%, 	0.350000%, 	0.203042%
