2020-04-10 18:20:04, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:20:19, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:20:34, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:20:49, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:21:04, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:21:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:21:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:21:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:22:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:22:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:22:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:22:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:23:05, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:23:20, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:23:35, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
2020-04-10 18:23:50, 	Poloniex    , 	OKEX        , 	BNT/BTC, 	2.646e-05, 	0.14789679, 	2.63e-05, 	1.5801, 	0.608365%, 	0.240000%, 	0.368365%
