2020-04-09 21:22:23, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	20.91758472, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:22:38, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	20.91758472, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:22:53, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	20.91758472, 	0.000144, 	98.95053076, 	-0.402778%, 	0.240000%, 	-0.642778%
2020-04-09 21:35:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:35:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:36:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:36:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:36:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:36:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:37:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:37:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:37:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:37:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:38:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:38:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:38:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:38:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:39:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:39:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:39:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:39:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:40:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:40:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:40:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:40:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:41:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:41:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
