2020-04-11 12:23:39, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9985, 	673.3692, 	0.266376%, 	0.240000%, 	0.026376%
2020-04-11 12:23:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9985, 	501.0271, 	0.266376%, 	0.240000%, 	0.026376%
2020-04-11 12:24:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9985, 	876.351, 	0.266376%, 	0.240000%, 	0.026376%
2020-04-11 12:24:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9984, 	501.0271, 	0.276418%, 	0.240000%, 	0.036418%
2020-04-11 12:24:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	1377.353, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:24:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	1550.6753, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:25:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:25:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:25:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	1550.6376, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:25:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	1377.353, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:26:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:26:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	1377.353, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:26:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	1377.353, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:26:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9985, 	363.4749, 	0.266376%, 	0.240000%, 	0.026376%
2020-04-11 12:27:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:27:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:27:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:27:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:28:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:28:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9987, 	151.7241, 	0.246296%, 	0.240000%, 	0.006296%
2020-04-11 12:28:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:28:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:29:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:29:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:29:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:29:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:30:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:30:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:30:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.9986, 	876.351, 	0.256335%, 	0.240000%, 	0.016335%
2020-04-11 12:30:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	500.0, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:31:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	500.0, 	0.316609%, 	0.240000%, 	0.076609%
