2020-04-10 18:52:30, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.945e-05, 	6658.0, 	1.923e-05, 	186.94538339, 	1.144046%, 	0.300000%, 	0.844046%
2020-04-10 18:52:45, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.958e-05, 	57.0, 	1.923e-05, 	186.94538339, 	1.820073%, 	0.300000%, 	1.520073%
2020-04-10 18:53:00, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.948e-05, 	2782.0, 	1.923e-05, 	186.94538339, 	1.300052%, 	0.300000%, 	1.000052%
2020-04-10 18:53:15, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.955e-05, 	4062.0, 	1.923e-05, 	186.94538339, 	1.664067%, 	0.300000%, 	1.364067%
2020-04-10 18:53:30, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.983e-05, 	321.0, 	1.923e-05, 	186.94538339, 	3.120125%, 	0.300000%, 	2.820125%
2020-04-10 18:53:45, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2e-05, 	485.0, 	1.923e-05, 	186.94538339, 	4.004160%, 	0.300000%, 	3.704160%
2020-04-10 18:54:00, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.022e-05, 	736.0, 	1.923e-05, 	186.94538339, 	5.148206%, 	0.300000%, 	4.848206%
2020-04-10 18:54:15, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.034e-05, 	1048.0, 	1.997e-05, 	4263.17792854, 	1.852779%, 	0.300000%, 	1.552779%
2020-04-10 18:54:30, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.035e-05, 	3852.0, 	1.997e-05, 	4263.17792854, 	1.902854%, 	0.300000%, 	1.602854%
2020-04-10 18:54:45, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.041e-05, 	7.0, 	1.997e-05, 	4263.17792854, 	2.203305%, 	0.300000%, 	1.903305%
2020-04-10 18:55:00, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.041e-05, 	5671.0, 	1.997e-05, 	4263.17792854, 	2.203305%, 	0.300000%, 	1.903305%
2020-04-10 18:55:15, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.074e-05, 	1297.0, 	1.997e-05, 	4263.17792854, 	3.855784%, 	0.300000%, 	3.555784%
2020-04-10 18:55:30, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.095e-05, 	4342.0, 	1.997e-05, 	4263.17792854, 	4.907361%, 	0.300000%, 	4.607361%
2020-04-10 18:55:45, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.199e-05, 	2076.0, 	1.997e-05, 	4263.17792854, 	10.115173%, 	0.300000%, 	9.815173%
2020-04-10 18:56:00, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.023e-05, 	138.0, 	1.997e-05, 	4263.17792854, 	1.301953%, 	0.300000%, 	1.001953%
2020-04-10 18:56:15, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.098e-05, 	114.0, 	1.997e-05, 	4263.17792854, 	5.057586%, 	0.300000%, 	4.757586%
2020-04-10 18:56:30, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.105e-05, 	10160.0, 	1.997e-05, 	4263.17792854, 	5.408112%, 	0.300000%, 	5.108112%
2020-04-10 18:56:45, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.077e-05, 	69599.0, 	2e-05, 	4361.40918658, 	3.850000%, 	0.300000%, 	3.550000%
2020-04-10 18:57:00, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	2.063e-05, 	10876.0, 	2.05e-05, 	419.99622, 	0.634146%, 	0.300000%, 	0.334146%
2020-04-10 18:57:15, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.954e-05, 	2247.0, 	1.982e-05, 	250.0, 	-1.412714%, 	0.300000%, 	-1.712714%
2020-04-10 19:49:39, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.934e-05, 	7.0, 	1.852e-05, 	201.4579, 	4.427646%, 	0.300000%, 	4.127646%
2020-04-10 19:49:54, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.927e-05, 	3638.0, 	1.852e-05, 	201.4579, 	4.049676%, 	0.300000%, 	3.749676%
2020-04-10 19:50:09, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.932e-05, 	6527.0, 	1.852e-05, 	201.4579, 	4.319654%, 	0.300000%, 	4.019654%
2020-04-10 19:50:24, 	Binance     , 	Bitfinex    , 	EDO/BTC, 	1.926e-05, 	7609.0, 	1.942e-05, 	1206.03177363, 	-0.823893%, 	0.300000%, 	-1.123893%
