2020-04-10 18:50:21, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.00084, 	1889.0, 	0.0007697, 	150.0, 	9.133429%, 	0.300000%, 	8.833429%
2020-04-10 18:50:36, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000851, 	2568.0, 	0.0007997, 	128.08034601, 	6.414906%, 	0.300000%, 	6.114906%
2020-04-10 18:50:51, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000856, 	157.72, 	0.0007997, 	20.4132183, 	7.040140%, 	0.300000%, 	6.740140%
2020-04-10 18:51:06, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000876, 	3283.99, 	0.0007997, 	20.4132183, 	9.541078%, 	0.300000%, 	9.241078%
2020-04-10 18:51:21, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000884, 	19.7, 	0.0007997, 	20.4132183, 	10.541453%, 	0.300000%, 	10.241453%
2020-04-10 18:51:36, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000897, 	5085.0, 	0.0007997, 	20.4132183, 	12.167063%, 	0.300000%, 	11.867063%
2020-04-10 18:51:51, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000856, 	144.0, 	0.0007997, 	20.4132183, 	7.040140%, 	0.300000%, 	6.740140%
2020-04-10 18:52:06, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000867, 	10.15, 	0.00084968, 	4164.87439615, 	2.038414%, 	0.300000%, 	1.738414%
2020-04-10 18:52:21, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000846, 	19.7, 	0.00084968, 	4164.87439615, 	-0.433104%, 	0.300000%, 	-0.733104%
2020-04-11 12:07:03, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000756, 	0.7, 	0.00075073, 	1000.0, 	0.701983%, 	0.300000%, 	0.401983%
2020-04-11 12:07:18, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000752, 	19.7, 	0.00075073, 	1000.0, 	0.169169%, 	0.300000%, 	-0.130831%
2020-04-11 12:26:37, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000763, 	19.7, 	0.00074082, 	1000.0, 	2.993980%, 	0.300000%, 	2.693980%
2020-04-11 12:26:52, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000761, 	4999.73, 	0.00074082, 	1000.0, 	2.724009%, 	0.300000%, 	2.424009%
2020-04-11 12:28:07, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000763, 	0.7, 	0.00074082, 	1000.0, 	2.993980%, 	0.300000%, 	2.693980%
2020-04-11 12:28:22, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000763, 	0.7, 	0.00074082, 	1000.0, 	2.993980%, 	0.300000%, 	2.693980%
2020-04-11 12:28:37, 	Binance     , 	Bitfinex    , 	EDO/ETH, 	0.000763, 	0.7, 	0.00076419, 	1000.0, 	-0.155720%, 	0.300000%, 	-0.455720%
