2020-04-09 00:32:46, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	1330.0, 	2.323e-05, 	700.0, 	0.430478%, 	0.300000%, 	0.130478%
2020-04-09 00:33:01, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	1330.0, 	2.323e-05, 	700.0, 	0.430478%, 	0.300000%, 	0.130478%
2020-04-09 00:33:16, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	1330.0, 	2.326e-05, 	5700.0, 	0.300946%, 	0.300000%, 	0.000946%
2020-04-09 00:33:31, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	1330.0, 	2.326e-05, 	6700.0, 	0.300946%, 	0.300000%, 	0.000946%
2020-04-09 00:33:46, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	516.0, 	2.325e-05, 	700.0, 	0.344086%, 	0.300000%, 	0.044086%
2020-04-09 00:34:01, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	1501.0, 	2.325e-05, 	700.0, 	0.344086%, 	0.300000%, 	0.044086%
2020-04-09 00:34:16, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	1501.0, 	2.325e-05, 	700.0, 	0.344086%, 	0.300000%, 	0.044086%
2020-04-09 00:34:31, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.333e-05, 	516.0, 	2.327e-05, 	6700.0, 	0.257843%, 	0.300000%, 	-0.042157%
2020-04-09 00:44:59, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.338e-05, 	128.0, 	2.33e-05, 	51.93045157, 	0.343348%, 	0.300000%, 	0.043348%
2020-04-09 00:45:14, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.338e-05, 	4076.0, 	2.33e-05, 	51.93045157, 	0.343348%, 	0.300000%, 	0.043348%
2020-04-09 00:45:29, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.338e-05, 	43.0, 	2.33e-05, 	51.93045157, 	0.343348%, 	0.300000%, 	0.043348%
2020-04-09 00:45:44, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.338e-05, 	128.0, 	2.33e-05, 	51.93045157, 	0.343348%, 	0.300000%, 	0.043348%
2020-04-09 00:45:59, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.338e-05, 	128.0, 	2.33e-05, 	51.93045157, 	0.343348%, 	0.300000%, 	0.043348%
