2020-04-10 10:09:52, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11696.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:10:07, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11696.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:10:22, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11696.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:10:37, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:10:52, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:11:07, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:11:22, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:11:37, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:11:52, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:12:07, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
2020-04-10 10:12:22, 	Binance     , 	Bittrex     , 	ARDR/BTC, 	4.93e-06, 	11657.0, 	4.91e-06, 	0.52380952, 	0.407332%, 	0.350000%, 	0.057332%
