2020-04-10 13:19:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:19:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:20:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:20:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:20:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:20:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:21:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:21:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:21:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:21:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:22:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:22:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:22:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:22:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:23:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:23:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:23:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:23:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:24:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:24:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:24:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:24:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:25:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
