2020-04-08 17:09:53, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6754.57, 	0.005305, 	6727.0, 	0.658, 	0.409841%, 	0.350000%, 	0.059841%
2020-04-08 17:10:08, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6754.56, 	0.509228, 	6724.3, 	0.631, 	0.450010%, 	0.350000%, 	0.100010%
2020-04-08 17:10:23, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6754.56, 	0.009228, 	6722.346, 	0.04384, 	0.479208%, 	0.350000%, 	0.129208%
2020-04-08 17:10:38, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6754.56, 	0.009228, 	6722.346, 	0.04384, 	0.479208%, 	0.350000%, 	0.129208%
2020-04-08 17:10:53, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002328, 	6786.074, 	0.04343, 	-0.532473%, 	0.350000%, 	-0.882473%
2020-04-08 22:00:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6797.01, 	0.077625, 	6771.662, 	4.88746066, 	0.374325%, 	0.350000%, 	0.024325%
2020-04-08 22:00:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6797.01, 	0.077625, 	6771.662, 	4.88746066, 	0.374325%, 	0.350000%, 	0.024325%
2020-04-08 22:00:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6797.01, 	0.077625, 	6776.808, 	0.04348, 	0.298105%, 	0.350000%, 	-0.051895%
2020-04-09 11:56:28, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6766.23, 	0.002111, 	6740.878, 	0.04367, 	0.376093%, 	0.350000%, 	0.026093%
2020-04-09 11:56:43, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6766.23, 	0.002111, 	6752.199, 	0.28133586, 	0.207799%, 	0.350000%, 	-0.142201%
2020-04-09 16:37:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6742.18, 	4.770904, 	6716.828, 	0.04382, 	0.377440%, 	0.350000%, 	0.027440%
2020-04-09 16:37:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6742.18, 	4.770904, 	6716.62, 	0.04382, 	0.380549%, 	0.350000%, 	0.030549%
2020-04-09 16:38:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6742.18, 	4.770904, 	6716.619, 	0.36491081, 	0.380563%, 	0.350000%, 	0.030563%
