2020-04-09 17:33:37, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.834e-05, 	11.0, 	1.821e-05, 	1280.1593, 	0.713893%, 	0.350000%, 	0.363893%
2020-04-09 17:33:52, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.83e-05, 	2534.0, 	1.821e-05, 	915.1593, 	0.494234%, 	0.350000%, 	0.144234%
2020-04-09 17:34:07, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.83e-05, 	571.0, 	1.821e-05, 	780.82299878, 	0.494234%, 	0.350000%, 	0.144234%
2020-04-09 17:34:22, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.83e-05, 	571.0, 	1.821e-05, 	780.82299878, 	0.494234%, 	0.350000%, 	0.144234%
2020-04-09 17:34:37, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.83e-05, 	571.0, 	1.821e-05, 	780.82299878, 	0.494234%, 	0.350000%, 	0.144234%
2020-04-09 17:34:52, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.83e-05, 	571.0, 	1.821e-05, 	780.82299878, 	0.494234%, 	0.350000%, 	0.144234%
2020-04-09 17:35:07, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.828e-05, 	175.0, 	1.821e-05, 	780.82299878, 	0.384404%, 	0.350000%, 	0.034404%
2020-04-09 17:35:22, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.828e-05, 	175.0, 	1.821e-05, 	780.82299878, 	0.384404%, 	0.350000%, 	0.034404%
2020-04-09 17:35:37, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.828e-05, 	175.0, 	1.821e-05, 	780.82299878, 	0.384404%, 	0.350000%, 	0.034404%
2020-04-09 17:35:52, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.828e-05, 	175.0, 	1.821e-05, 	780.82299878, 	0.384404%, 	0.350000%, 	0.034404%
2020-04-09 17:36:07, 	Binance     , 	Bittrex     , 	ENG/BTC, 	1.828e-05, 	175.0, 	1.853e-05, 	2304.24928744, 	-1.349164%, 	0.350000%, 	-1.699164%
