2020-04-08 18:07:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:08:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:08:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:08:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:08:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:09:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:09:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:09:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:09:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:10:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:10:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
