2020-04-09 21:15:17, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:15:32, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:15:47, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:16:02, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:16:17, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:16:32, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:16:47, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:17:02, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:17:17, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:17:32, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:17:47, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.816e-05, 	33.0, 	3.802e-05, 	2359.71695719, 	0.368227%, 	0.350000%, 	0.018227%
2020-04-09 21:18:02, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.814e-05, 	204.0, 	3.802e-05, 	2359.71695719, 	0.315623%, 	0.350000%, 	-0.034377%
2020-04-10 00:25:16, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:25:31, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:25:46, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:26:01, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:26:16, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:26:31, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:26:46, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:27:01, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:27:16, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:27:31, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:27:46, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	156.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:28:01, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	136.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
2020-04-10 00:28:16, 	Binance     , 	Bittrex     , 	MTL/BTC, 	3.804e-05, 	136.0, 	3.79e-05, 	22.0, 	0.369393%, 	0.350000%, 	0.019393%
