2020-04-09 09:01:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.552e-05, 	1913.0, 	3.432e-05, 	102.99846634, 	3.496503%, 	0.350000%, 	3.146503%
2020-04-09 09:01:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.552e-05, 	16988.0, 	3.432e-05, 	102.99846634, 	3.496503%, 	0.350000%, 	3.146503%
2020-04-09 09:02:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.552e-05, 	6689.0, 	3.432e-05, 	102.99846634, 	3.496503%, 	0.350000%, 	3.146503%
2020-04-09 09:02:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.552e-05, 	169.0, 	3.432e-05, 	102.99846634, 	3.496503%, 	0.350000%, 	3.146503%
2020-04-09 09:02:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.552e-05, 	933.0, 	3.432e-05, 	102.99846634, 	3.496503%, 	0.350000%, 	3.146503%
2020-04-09 09:02:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.552e-05, 	764.0, 	3.432e-05, 	102.99846634, 	3.496503%, 	0.350000%, 	3.146503%
2020-04-09 09:03:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.545e-05, 	4795.0, 	3.432e-05, 	102.99846634, 	3.292541%, 	0.350000%, 	2.942541%
2020-04-09 09:03:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.535e-05, 	7651.0, 	3.432e-05, 	102.99846634, 	3.001166%, 	0.350000%, 	2.651166%
2020-04-09 09:03:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	6.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-09 09:03:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	3400.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-09 09:04:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	6214.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:04:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	4913.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:04:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	4913.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:04:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	1132.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-09 09:05:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	1036.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-09 09:05:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.545e-05, 	1.0, 	3.432e-05, 	102.99846634, 	3.292541%, 	0.350000%, 	2.942541%
2020-04-09 09:05:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.545e-05, 	1.0, 	3.432e-05, 	102.99846634, 	3.292541%, 	0.350000%, 	2.942541%
2020-04-09 09:05:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.545e-05, 	1.0, 	3.432e-05, 	102.99846634, 	3.292541%, 	0.350000%, 	2.942541%
2020-04-09 09:06:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	177.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:06:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	896.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:06:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	1384.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:06:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	6.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-09 09:07:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.535e-05, 	896.0, 	3.432e-05, 	102.99846634, 	3.001166%, 	0.350000%, 	2.651166%
2020-04-09 09:07:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.535e-05, 	896.0, 	3.432e-05, 	102.99846634, 	3.001166%, 	0.350000%, 	2.651166%
2020-04-09 09:07:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	5524.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:07:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.538e-05, 	50.0, 	3.432e-05, 	102.99846634, 	3.088578%, 	0.350000%, 	2.738578%
2020-04-09 09:08:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	509.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:08:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	509.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:08:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	895.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:08:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	5295.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
