2020-04-09 04:16:34, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.379e-05, 	342.0, 	2.364e-05, 	1.669, 	0.634518%, 	0.350000%, 	0.284518%
2020-04-09 04:16:49, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.379e-05, 	342.0, 	2.364e-05, 	1.669, 	0.634518%, 	0.350000%, 	0.284518%
2020-04-09 04:17:04, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.379e-05, 	342.0, 	2.364e-05, 	1.669, 	0.634518%, 	0.350000%, 	0.284518%
2020-04-09 04:17:19, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.371e-05, 	124.0, 	2.364e-05, 	1.669, 	0.296108%, 	0.350000%, 	-0.053892%
2020-04-09 21:11:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4929.0, 	2.35e-05, 	828.26, 	0.382979%, 	0.350000%, 	0.032979%
2020-04-09 21:11:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4929.0, 	2.35e-05, 	828.26, 	0.382979%, 	0.350000%, 	0.032979%
2020-04-09 21:12:10, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4929.0, 	2.35e-05, 	828.26, 	0.382979%, 	0.350000%, 	0.032979%
2020-04-09 21:12:25, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4929.0, 	2.35e-05, 	828.26, 	0.382979%, 	0.350000%, 	0.032979%
2020-04-09 21:12:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4929.0, 	2.35e-05, 	828.26, 	0.382979%, 	0.350000%, 	0.032979%
2020-04-09 21:12:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4632.0, 	2.35e-05, 	828.26, 	0.382979%, 	0.350000%, 	0.032979%
2020-04-09 21:13:10, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4632.0, 	2.35e-05, 	828.26, 	0.382979%, 	0.350000%, 	0.032979%
2020-04-09 21:13:25, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4519.0, 	2.349e-05, 	6837.0, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:13:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4519.0, 	2.349e-05, 	6837.0, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:13:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4519.0, 	2.349e-05, 	6837.0, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:14:10, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	4519.0, 	2.349e-05, 	6837.0, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:14:25, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:14:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:14:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3791.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:15:10, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3791.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:15:25, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:15:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:15:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:16:10, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:16:25, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:16:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:16:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:17:10, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	3695.0, 	2.348e-05, 	78.26, 	0.468484%, 	0.350000%, 	0.118484%
2020-04-09 21:17:25, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	1946.0, 	2.349e-05, 	6549.1627, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:17:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	1143.0, 	2.349e-05, 	6549.1627, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:17:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	1143.0, 	2.349e-05, 	6549.1627, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:18:10, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	1143.0, 	2.349e-05, 	6549.1627, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:18:25, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	536.0, 	2.349e-05, 	6549.1627, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:18:40, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.359e-05, 	208.0, 	2.349e-05, 	6549.1627, 	0.425713%, 	0.350000%, 	0.075713%
2020-04-09 21:18:55, 	Binance     , 	Bittrex     , 	STEEM/BTC, 	2.356e-05, 	5.0, 	2.349e-05, 	6549.1627, 	0.297999%, 	0.350000%, 	-0.052001%
