2020-04-09 13:53:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:53:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:53:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:53:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:54:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:54:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:54:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:54:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:55:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:55:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:55:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:55:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:56:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:56:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:56:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:56:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	109734.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:57:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:57:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
