2020-04-08 17:04:27, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008174, 	31.54, 	0.000813, 	0.64, 	0.541205%, 	0.350000%, 	0.191205%
2020-04-08 17:04:42, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008174, 	31.54, 	0.000813, 	0.64, 	0.541205%, 	0.350000%, 	0.191205%
2020-04-08 17:04:57, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008174, 	28.1, 	0.000813, 	0.64, 	0.541205%, 	0.350000%, 	0.191205%
2020-04-08 17:05:12, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008171, 	181.17, 	0.000813, 	0.64, 	0.504305%, 	0.350000%, 	0.154305%
2020-04-08 17:05:27, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008171, 	181.17, 	0.000813, 	0.64, 	0.504305%, 	0.350000%, 	0.154305%
2020-04-08 17:05:42, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008171, 	175.09, 	0.000813, 	0.64, 	0.504305%, 	0.350000%, 	0.154305%
2020-04-08 17:05:57, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008171, 	175.09, 	0.000813, 	0.64, 	0.504305%, 	0.350000%, 	0.154305%
2020-04-08 17:06:12, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008171, 	175.09, 	0.000813, 	0.64, 	0.504305%, 	0.350000%, 	0.154305%
2020-04-08 17:06:27, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008171, 	175.09, 	0.000813, 	0.64, 	0.504305%, 	0.350000%, 	0.154305%
2020-04-08 17:06:42, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008171, 	175.09, 	0.000813, 	0.64, 	0.504305%, 	0.350000%, 	0.154305%
2020-04-08 17:06:57, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:07:12, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:07:27, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:07:42, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:07:57, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:08:12, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:08:27, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:08:42, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:08:57, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000813, 	0.64, 	0.565806%, 	0.350000%, 	0.215806%
2020-04-08 17:09:12, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	41.78, 	0.000811, 	0.63, 	0.813810%, 	0.350000%, 	0.463810%
2020-04-08 17:09:27, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	35.51, 	0.000814, 	0.63, 	0.442260%, 	0.350000%, 	0.092260%
2020-04-08 17:09:42, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008176, 	29.25, 	0.000815, 	0.63, 	0.319018%, 	0.350000%, 	-0.030982%
2020-04-08 18:14:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:14:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:14:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:15:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:15:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:15:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:15:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:16:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:16:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:16:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:16:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:17:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:17:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:17:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:17:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:18:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:18:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:18:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	0.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:18:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:19:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	84.79, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:19:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:19:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:19:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:20:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:20:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:20:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:20:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:21:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:21:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:21:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008172, 	0.16, 	0.000813, 	1.00573613, 	0.516605%, 	0.350000%, 	0.166605%
2020-04-08 18:21:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008162, 	222.8, 	0.000813, 	1.00573613, 	0.393604%, 	0.350000%, 	0.043604%
2020-04-08 18:22:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008162, 	222.8, 	0.000813, 	1.00573613, 	0.393604%, 	0.350000%, 	0.043604%
2020-04-08 18:22:19, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008162, 	222.8, 	0.000813, 	1.00573613, 	0.393604%, 	0.350000%, 	0.043604%
2020-04-08 18:22:34, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008163, 	122.62, 	0.000813, 	1.00573613, 	0.405904%, 	0.350000%, 	0.055904%
2020-04-08 18:22:49, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008163, 	122.62, 	0.000813, 	1.00573613, 	0.405904%, 	0.350000%, 	0.055904%
2020-04-08 18:23:04, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008163, 	308.18, 	0.000814, 	1.0, 	0.282555%, 	0.350000%, 	-0.067445%
2020-04-09 01:00:30, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00080436, 	5.6699628, 	0.390372%, 	0.350000%, 	0.040372%
2020-04-09 01:00:45, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00080436, 	5.6699628, 	0.390372%, 	0.350000%, 	0.040372%
2020-04-09 01:01:00, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00080434, 	2.35, 	0.392869%, 	0.350000%, 	0.042869%
2020-04-09 01:01:15, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00080434, 	2.35, 	0.392869%, 	0.350000%, 	0.042869%
2020-04-09 01:01:30, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00080433, 	4.8, 	0.394117%, 	0.350000%, 	0.044117%
2020-04-09 01:01:45, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00080434, 	4.8, 	0.392869%, 	0.350000%, 	0.042869%
2020-04-09 01:02:00, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00080434, 	4.8, 	0.392869%, 	0.350000%, 	0.042869%
2020-04-09 01:02:15, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008075, 	0.31, 	0.00081099, 	4.8, 	-0.430338%, 	0.350000%, 	-0.780338%
2020-04-09 01:56:45, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:57:00, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:57:15, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:57:30, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:57:45, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:58:00, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:58:15, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:58:30, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	24.22, 	0.0008, 	0.71067107, 	0.925000%, 	0.350000%, 	0.575000%
2020-04-09 01:58:45, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008074, 	22.51, 	0.00080954, 	15.98804234, 	-0.264348%, 	0.350000%, 	-0.614348%
2020-04-09 18:03:23, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	44.03, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:03:38, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	44.03, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:03:53, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	44.03, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:04:08, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	44.03, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:04:23, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	42.46, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:04:38, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	42.46, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:04:53, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	42.46, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:05:08, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	42.46, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:05:23, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	42.46, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:05:38, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008208, 	42.46, 	0.000817, 	0.0239535, 	0.465116%, 	0.350000%, 	0.115116%
2020-04-09 18:05:53, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008209, 	13.05, 	0.000817, 	0.0239535, 	0.477356%, 	0.350000%, 	0.127356%
2020-04-09 18:06:08, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008209, 	13.05, 	0.000817, 	0.0239535, 	0.477356%, 	0.350000%, 	0.127356%
2020-04-09 18:06:23, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008209, 	13.05, 	0.000817, 	0.0239535, 	0.477356%, 	0.350000%, 	0.127356%
2020-04-09 18:06:38, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008213, 	39.11, 	0.000817, 	0.0239535, 	0.526316%, 	0.350000%, 	0.176316%
2020-04-09 18:06:53, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008213, 	39.11, 	0.000817, 	0.0239535, 	0.526316%, 	0.350000%, 	0.176316%
2020-04-09 18:07:08, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008213, 	39.11, 	0.000817, 	0.0239535, 	0.526316%, 	0.350000%, 	0.176316%
2020-04-09 18:07:23, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:07:38, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:07:53, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:08:08, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:08:23, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:08:38, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:08:53, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:09:08, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.000817, 	0.0239535, 	0.550796%, 	0.350000%, 	0.200796%
2020-04-09 18:09:23, 	Binance     , 	Bittrex     , 	ZEN/BTC, 	0.0008215, 	20.0, 	0.0008199, 	17.98801796, 	0.195146%, 	0.350000%, 	-0.154854%
