2020-04-07 20:19:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.34, 	0.27839, 	0.473327%, 	0.360000%, 	0.113327%
2020-04-07 20:19:56, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.13, 	0.27839, 	0.608467%, 	0.360000%, 	0.248467%
2020-04-07 20:20:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.15, 	0.27839, 	0.595581%, 	0.360000%, 	0.235581%
2020-04-07 20:20:56, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.0, 	0.2, 	0.692308%, 	0.360000%, 	0.332308%
2020-04-07 20:21:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	155.96, 	0.2, 	0.718133%, 	0.360000%, 	0.358133%
2020-04-07 20:21:56, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	155.94, 	0.51314, 	0.731050%, 	0.360000%, 	0.371050%
2020-04-07 20:22:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	155.95, 	0.51314, 	0.724591%, 	0.360000%, 	0.364591%
2020-04-07 20:22:56, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	155.96, 	0.51314, 	0.718133%, 	0.360000%, 	0.358133%
2020-04-07 20:23:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.05, 	0.51314, 	0.660045%, 	0.360000%, 	0.300045%
2020-04-07 20:23:56, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.3, 	0.51314, 	0.499040%, 	0.360000%, 	0.139040%
2020-04-07 20:24:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.07, 	0.51314, 	0.647146%, 	0.360000%, 	0.287146%
2020-04-07 20:24:56, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	155.99, 	0.51314, 	0.698763%, 	0.360000%, 	0.338763%
2020-04-07 20:25:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.01, 	0.51314, 	0.685853%, 	0.360000%, 	0.325853%
2020-04-07 20:25:56, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	155.93, 	0.51314, 	0.737510%, 	0.360000%, 	0.377510%
2020-04-07 20:26:26, 	Binance     , 	Kraken      , 	ETH/EUR, 	157.08, 	0.20653, 	156.28, 	0.20579, 	0.511902%, 	0.360000%, 	0.151902%
