2020-04-08 18:03:33, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.314e-05, 	58.0, 	2.3e-05, 	94.2325, 	0.608696%, 	0.250000%, 	0.358696%
2020-04-08 18:03:48, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.314e-05, 	58.0, 	2.3e-05, 	94.2325, 	0.608696%, 	0.250000%, 	0.358696%
2020-04-08 18:04:03, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.314e-05, 	58.0, 	2.33e-05, 	1442.2051, 	-0.686695%, 	0.250000%, 	-0.936695%
2020-04-08 21:13:33, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.32e-05, 	1393.0, 	2.31e-05, 	141.2905, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-08 21:13:48, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.32e-05, 	1393.0, 	2.31e-05, 	141.2905, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-08 21:14:03, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.32e-05, 	1393.0, 	2.31e-05, 	141.2905, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-08 21:14:18, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.32e-05, 	1393.0, 	2.31e-05, 	141.2905, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-08 21:14:33, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.32e-05, 	1393.0, 	2.33e-05, 	1438.8133, 	-0.429185%, 	0.250000%, 	-0.679185%
2020-04-08 22:13:19, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.307e-05, 	7392.0, 	2.3e-05, 	141.3681, 	0.304348%, 	0.250000%, 	0.054348%
2020-04-08 22:13:34, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.307e-05, 	7392.0, 	2.3e-05, 	141.3681, 	0.304348%, 	0.250000%, 	0.054348%
2020-04-08 22:13:49, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.304e-05, 	7378.0, 	2.3e-05, 	141.3681, 	0.173913%, 	0.250000%, 	-0.076087%
2020-04-09 00:10:57, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.307e-05, 	5.0, 	2.3e-05, 	141.3681, 	0.304348%, 	0.250000%, 	0.054348%
2020-04-09 00:11:12, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.307e-05, 	5.0, 	2.3e-05, 	141.3681, 	0.304348%, 	0.250000%, 	0.054348%
2020-04-09 00:11:27, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.307e-05, 	5.0, 	2.3e-05, 	141.3681, 	0.304348%, 	0.250000%, 	0.054348%
2020-04-09 00:11:42, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.307e-05, 	5.0, 	2.3e-05, 	141.3681, 	0.304348%, 	0.250000%, 	0.054348%
2020-04-09 00:11:57, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.307e-05, 	5.0, 	2.3e-05, 	141.3681, 	0.304348%, 	0.250000%, 	0.054348%
2020-04-09 00:12:12, 	Binance     , 	OKEX        , 	ARK/BTC, 	2.291e-05, 	547.0, 	2.3e-05, 	141.3681, 	-0.391304%, 	0.250000%, 	-0.641304%
