2020-04-08 07:27:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1401.19, 	8.3e-05, 	358.94, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:28:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1160.39, 	8.3e-05, 	189.19, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:28:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1160.39, 	8.3e-05, 	189.19, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:29:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1160.39, 	8.3e-05, 	1508.19, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:29:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1160.39, 	8.3e-05, 	1508.19, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:30:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1160.39, 	8.3e-05, 	1505.81, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:30:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1160.39, 	8.3e-05, 	1534.17, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:31:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	1160.39, 	8.3e-05, 	256.53, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:31:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	152.87, 	8.3e-05, 	256.53, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:32:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	152.87, 	8.3e-05, 	256.53, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:32:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	152.87, 	8.3e-05, 	257.85, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:33:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	152.87, 	8.3e-05, 	257.85, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:33:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	0.87, 	8.3e-05, 	257.85, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:34:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	0.87, 	8.3e-05, 	257.85, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:34:34, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.33e-05, 	0.87, 	8.3e-05, 	1207.85, 	0.361446%, 	0.250000%, 	0.111446%
2020-04-08 07:35:04, 	Binance     , 	OKEX        , 	NANO/BTC, 	8.32e-05, 	1501.71, 	8.3e-05, 	1209.47, 	0.240964%, 	0.250000%, 	-0.009036%
