2020-04-09 12:27:32, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:27:47, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:02, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:17, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:32, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:47, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:02, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:17, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:32, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:47, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:30:02, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.59e-05, 	4250.28, 	3.59e-05, 	0.2931, 	0.000000%, 	0.250000%, 	-0.250000%
