2020-04-10 08:02:20, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	4.0, 	2.665e-05, 	33.97951168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:02:35, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	4.0, 	2.665e-05, 	33.97951168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:02:50, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	4.0, 	2.665e-05, 	33.97951168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:03:05, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.672e-05, 	2553.0, 	2.665e-05, 	33.97951168, 	0.262664%, 	0.190000%, 	0.072664%
2020-04-10 08:03:20, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.672e-05, 	2403.0, 	2.665e-05, 	33.97951168, 	0.262664%, 	0.190000%, 	0.072664%
2020-04-10 08:03:35, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	768.0, 	2.665e-05, 	29.47546168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:03:50, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	2407.0, 	2.665e-05, 	29.47546168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:04:05, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	4.0, 	2.665e-05, 	29.47546168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:04:20, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.672e-05, 	81.0, 	2.665e-05, 	29.47546168, 	0.262664%, 	0.190000%, 	0.072664%
2020-04-10 08:04:35, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	4.0, 	2.665e-05, 	29.47546168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:04:50, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.671e-05, 	4.0, 	2.665e-05, 	29.47546168, 	0.225141%, 	0.190000%, 	0.035141%
2020-04-10 08:05:05, 	Binance     , 	Poloniex    , 	BNT/BTC, 	2.666e-05, 	1417.0, 	2.665e-05, 	29.47546168, 	0.037523%, 	0.190000%, 	-0.152477%
