2020-04-07 23:17:48, 	Binance     , 	Poloniex    , 	KNC/BTC, 	6.88e-05, 	3405.8482879, 	6.863e-05, 	10.12654237, 	0.247705%, 	0.190000%, 	0.057705%
2020-04-07 23:18:18, 	Binance     , 	Poloniex    , 	KNC/BTC, 	6.881e-05, 	3405.8482879, 	6.863e-05, 	10.12654237, 	0.262276%, 	0.190000%, 	0.072276%
2020-04-07 23:18:48, 	Binance     , 	Poloniex    , 	KNC/BTC, 	6.881e-05, 	3405.8482879, 	6.863e-05, 	10.12654237, 	0.262276%, 	0.190000%, 	0.072276%
2020-04-07 23:19:18, 	Binance     , 	Poloniex    , 	KNC/BTC, 	6.865e-05, 	3405.8482879, 	6.863e-05, 	10.12654237, 	0.029142%, 	0.190000%, 	-0.160858%
2020-04-10 05:54:26, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.045e-05, 	74.0, 	7.023e-05, 	4.57607921, 	0.313256%, 	0.190000%, 	0.123256%
2020-04-10 05:54:41, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.045e-05, 	74.0, 	7.023e-05, 	4.57607921, 	0.313256%, 	0.190000%, 	0.123256%
2020-04-10 05:54:56, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.045e-05, 	74.0, 	7.023e-05, 	4.57607921, 	0.313256%, 	0.190000%, 	0.123256%
2020-04-10 05:55:11, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.045e-05, 	2.0, 	7.023e-05, 	4.57607921, 	0.313256%, 	0.190000%, 	0.123256%
2020-04-10 05:55:26, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.048e-05, 	347.0, 	7.023e-05, 	4.57607921, 	0.355973%, 	0.190000%, 	0.165973%
2020-04-10 05:55:41, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.048e-05, 	1357.0, 	7.023e-05, 	4.57607921, 	0.355973%, 	0.190000%, 	0.165973%
2020-04-10 05:55:56, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.048e-05, 	1357.0, 	7.023e-05, 	4.57607921, 	0.355973%, 	0.190000%, 	0.165973%
2020-04-10 05:56:11, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.048e-05, 	1357.0, 	7.023e-05, 	4.57607921, 	0.355973%, 	0.190000%, 	0.165973%
2020-04-10 05:56:26, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.052e-05, 	137.0, 	7.023e-05, 	4.57607921, 	0.412929%, 	0.190000%, 	0.222929%
2020-04-10 05:56:41, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.068e-05, 	4.0, 	7.023e-05, 	4.57607921, 	0.640752%, 	0.190000%, 	0.450752%
2020-04-10 05:56:56, 	Binance     , 	Poloniex    , 	KNC/BTC, 	7.068e-05, 	4.0, 	7.094e-05, 	393.03524078, 	-0.366507%, 	0.190000%, 	-0.556507%
