2020-04-09 00:47:51, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:48:06, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:48:21, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:48:36, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:48:51, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:49:06, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:49:21, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:49:36, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:49:51, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:50:06, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:50:21, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:50:36, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:50:51, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:51:06, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:51:21, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	2290.41, 	0.00014209, 	0.00342021, 	0.288550%, 	0.190000%, 	0.098550%
2020-04-09 00:51:36, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001426, 	187.03, 	0.00014209, 	0.00342021, 	0.358927%, 	0.190000%, 	0.168927%
2020-04-09 00:51:51, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001426, 	187.03, 	0.00014285, 	2034.0, 	-0.175009%, 	0.190000%, 	-0.365009%
2020-04-09 03:26:51, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:27:06, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:27:21, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:27:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:27:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:28:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:28:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:28:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:28:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:29:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:29:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:29:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:29:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1569.56, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
