2020-04-09 18:47:49, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:48:04, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:48:19, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.04899997, 	129.63965372, 	0.200194%, 	0.190000%, 	0.010194%
2020-04-09 18:48:34, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.04899996, 	23.30461295, 	0.200194%, 	0.190000%, 	0.010194%
2020-04-09 18:48:49, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:49:04, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:49:19, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:49:34, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:49:49, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:50:05, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	19.06, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:50:20, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:50:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:50:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:51:05, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:51:20, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.04899997, 	67.02322814, 	0.200194%, 	0.190000%, 	0.010194%
2020-04-09 18:51:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.04899996, 	23.30461295, 	0.200194%, 	0.190000%, 	0.010194%
2020-04-09 18:51:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:52:05, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:52:20, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:52:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:52:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:53:05, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:53:20, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:53:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:53:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:54:05, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:54:20, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:54:35, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
2020-04-09 18:54:50, 	Binance     , 	Poloniex    , 	LSK/USDT, 	1.0511, 	242.05, 	1.049, 	0.96855578, 	0.200191%, 	0.190000%, 	0.010191%
