2020-04-09 22:13:26, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	10.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 22:13:41, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.919e-05, 	5.0, 	0.243952%, 	0.300000%, 	-0.056048%
2020-04-09 23:01:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:01:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:02:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:02:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:02:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:02:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:03:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:03:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:03:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:03:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:04:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	559.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:04:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	559.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:04:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	4.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:04:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	4.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:05:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	5.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:05:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	5.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:05:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	5.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:05:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	5.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:06:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	5.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:06:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	5.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:06:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	5.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:06:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	3748.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:07:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	553.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:07:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	553.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:07:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	552.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:07:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	552.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:08:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	1117.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:08:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	553.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:08:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	563.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:08:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:09:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.913e-05, 	552.0, 	0.366375%, 	0.300000%, 	0.066375%
2020-04-09 23:09:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	562.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:09:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	562.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:09:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.902e-05, 	10.0, 	0.591595%, 	0.300000%, 	0.291595%
2020-04-09 23:10:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.902e-05, 	10.0, 	0.591595%, 	0.300000%, 	0.291595%
2020-04-09 23:10:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	333.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:10:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:10:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.909e-05, 	10.0, 	0.448156%, 	0.300000%, 	0.148156%
2020-04-09 23:12:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.9e-05, 	6.0, 	0.632653%, 	0.300000%, 	0.332653%
2020-04-09 23:12:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	10.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:12:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	10.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:12:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	569.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:13:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	569.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:13:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	589.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:13:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	589.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:13:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	342.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:14:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:14:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	9.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:14:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:14:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	696.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:15:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.912e-05, 	11.0, 	0.386808%, 	0.300000%, 	0.086808%
