2020-04-09 15:00:07, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	5085.71, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:00:22, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	5085.71, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:00:37, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9984, 	3306.42, 	1.161859%, 	0.300000%, 	0.861859%
2020-04-09 15:00:52, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9984, 	8892.37, 	1.161859%, 	0.300000%, 	0.861859%
2020-04-09 15:01:07, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	8477.42, 	1.141598%, 	0.300000%, 	0.841598%
2020-04-09 15:01:22, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	3387.06, 	1.141598%, 	0.300000%, 	0.841598%
2020-04-09 15:01:37, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	8265.84, 	1.141598%, 	0.300000%, 	0.841598%
2020-04-09 15:01:52, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	7653.21, 	1.141598%, 	0.300000%, 	0.841598%
2020-04-09 15:02:07, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	2588.61, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:02:22, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	4085.61, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:02:37, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	6642.0, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:02:52, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	6642.0, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:03:07, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	6642.0, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:03:22, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9985, 	6642.0, 	1.151728%, 	0.300000%, 	0.851728%
2020-04-09 15:03:37, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9984, 	1028.02, 	1.161859%, 	0.300000%, 	0.861859%
2020-04-09 15:03:52, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9983, 	5961.79, 	1.171992%, 	0.300000%, 	0.871992%
2020-04-09 15:04:07, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9984, 	564.06, 	1.161859%, 	0.300000%, 	0.861859%
2020-04-09 15:04:22, 	Bitfinex    , 	Binance     , 	USDC/USDT, 	0.99624, 	19115.4830123, 	0.9983, 	5612.96, 	-0.206351%, 	0.300000%, 	-0.506351%
