2020-04-09 13:06:48, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.743e-05, 	4999.9, 	0.619759%, 	0.450000%, 	0.169759%
2020-04-09 13:07:03, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.742e-05, 	1812.61846336, 	0.656455%, 	0.450000%, 	0.206455%
2020-04-09 13:07:18, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.742e-05, 	1812.61846336, 	0.656455%, 	0.450000%, 	0.206455%
2020-04-09 13:07:33, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.738e-05, 	1765.66827149, 	0.803506%, 	0.450000%, 	0.353506%
2020-04-09 13:07:48, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.738e-05, 	1765.66827149, 	0.803506%, 	0.450000%, 	0.353506%
2020-04-09 13:08:03, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.738e-05, 	1765.66827149, 	0.803506%, 	0.450000%, 	0.353506%
2020-04-09 13:08:18, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.745e-05, 	1808.64737485, 	0.546448%, 	0.450000%, 	0.096448%
2020-04-09 13:08:33, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.745e-05, 	1808.64737485, 	0.546448%, 	0.450000%, 	0.096448%
2020-04-09 13:08:48, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.745e-05, 	1808.64737485, 	0.546448%, 	0.450000%, 	0.096448%
2020-04-09 13:09:03, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.742e-05, 	1760.50639497, 	0.656455%, 	0.450000%, 	0.206455%
2020-04-09 13:09:18, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.742e-05, 	1760.50639497, 	0.656455%, 	0.450000%, 	0.206455%
2020-04-09 13:09:33, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.742e-05, 	1760.50639497, 	0.656455%, 	0.450000%, 	0.206455%
2020-04-09 13:09:48, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.742e-05, 	1760.50639497, 	0.656455%, 	0.450000%, 	0.206455%
2020-04-09 13:10:03, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.745e-05, 	1808.64737485, 	0.546448%, 	0.450000%, 	0.096448%
2020-04-09 13:10:18, 	Bitfinex    , 	Bittrex     , 	ALGO/BTC, 	2.76e-05, 	6117.51638375, 	2.772e-05, 	4999.9, 	-0.432900%, 	0.450000%, 	-0.882900%
