2020-04-10 06:02:56, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023296, 	17.60407858, 	0.02318754, 	32.47229886, 	0.467751%, 	0.450000%, 	0.017751%
2020-04-10 06:03:11, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023254, 	5.0, 	0.02318753, 	33.174518, 	0.286663%, 	0.450000%, 	-0.163337%
2020-04-10 08:04:53, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023277, 	41.87589365, 	0.02303144, 	10.5410335, 	1.066195%, 	0.450000%, 	0.616195%
2020-04-10 08:05:08, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023277, 	38.83466162, 	0.02307147, 	10.5410335, 	0.890841%, 	0.450000%, 	0.440841%
2020-04-10 08:05:23, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023277, 	33.65725984, 	0.02307363, 	14.72707755, 	0.881396%, 	0.450000%, 	0.431396%
2020-04-10 08:05:38, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023223, 	51.804893, 	0.02307082, 	15.76036284, 	0.659621%, 	0.450000%, 	0.209621%
2020-04-10 08:05:53, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023224, 	135.5061142, 	0.02308983, 	12.76036284, 	0.581078%, 	0.450000%, 	0.131078%
2020-04-10 08:06:08, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023216, 	139.73022915, 	0.02308974, 	32.3099695, 	0.546823%, 	0.450000%, 	0.096823%
2020-04-10 08:06:23, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023215, 	20.0, 	0.02306775, 	18.19582016, 	0.638337%, 	0.450000%, 	0.188337%
2020-04-10 08:06:38, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023216, 	103.83955031, 	0.02306779, 	10.5410335, 	0.642498%, 	0.450000%, 	0.192498%
2020-04-10 08:06:53, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023216, 	65.80928038, 	0.02305149, 	17.5, 	0.713663%, 	0.450000%, 	0.263663%
2020-04-10 08:07:08, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023217, 	144.71483554, 	0.02305058, 	0.57425511, 	0.721977%, 	0.450000%, 	0.271977%
2020-04-10 08:07:23, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023217, 	44.7798769, 	0.02304996, 	20.21236, 	0.724687%, 	0.450000%, 	0.274687%
2020-04-10 08:07:38, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023217, 	18.6988186, 	0.02304961, 	10.5410335, 	0.726216%, 	0.450000%, 	0.276216%
2020-04-10 08:07:53, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023217, 	16.32267513, 	0.02304998, 	13.0, 	0.724599%, 	0.450000%, 	0.274599%
2020-04-10 08:08:08, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023217, 	16.32267513, 	0.02307045, 	4.62, 	0.635228%, 	0.450000%, 	0.185228%
2020-04-10 08:08:23, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023217, 	16.32267513, 	0.02306278, 	4.632, 	0.668696%, 	0.450000%, 	0.218696%
2020-04-10 08:08:38, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023217, 	16.32267513, 	0.0230656, 	26.56762303, 	0.656389%, 	0.450000%, 	0.206389%
2020-04-10 08:09:49, 	Bitfinex    , 	Bittrex     , 	ETH/BTC, 	0.023128, 	77.0, 	0.02307038, 	3.25094816, 	0.249757%, 	0.450000%, 	-0.200243%
