2020-04-09 17:49:23, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.96, 	8e-05, 	4.889, 	1.0, 	1.452240%, 	0.350000%, 	1.102240%
2020-04-09 17:49:38, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.96, 	8e-05, 	4.886, 	321.5023, 	1.514531%, 	0.350000%, 	1.164531%
2020-04-09 17:49:53, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.96, 	8e-05, 	4.885, 	5.0, 	1.535312%, 	0.350000%, 	1.185312%
2020-04-09 17:50:08, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.96, 	8e-05, 	4.885, 	5.0, 	1.535312%, 	0.350000%, 	1.185312%
2020-04-09 17:50:23, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.96, 	8e-05, 	4.885, 	5.0, 	1.535312%, 	0.350000%, 	1.185312%
2020-04-09 17:50:38, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.8888, 	13.438, 	4.888, 	2.5, 	0.016367%, 	0.350000%, 	-0.333633%
2020-04-10 06:38:33, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.594, 	967.8964, 	0.574663%, 	0.350000%, 	0.224663%
2020-04-10 06:38:48, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.594, 	956.9387, 	0.574663%, 	0.350000%, 	0.224663%
2020-04-10 06:39:03, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.594, 	855.2061, 	0.574663%, 	0.350000%, 	0.224663%
2020-04-10 06:39:18, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.598, 	5.2761, 	0.487168%, 	0.350000%, 	0.137168%
2020-04-10 06:39:33, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	2029.2372, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:39:48, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	4548.8171, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:40:03, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	4442.3689, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:40:18, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	4057.5969, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:40:33, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	3530.9102, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:40:48, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	2983.4804, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:41:03, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	2983.4804, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:41:18, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	2619.3907, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:41:33, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	2609.2372, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:41:48, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	3354.6201, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:42:03, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	3353.5201, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:42:18, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.6, 	3353.5201, 	0.443478%, 	0.350000%, 	0.093478%
2020-04-10 06:42:33, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.603, 	1.5, 	0.378014%, 	0.350000%, 	0.028014%
2020-04-10 06:42:48, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.605, 	7.0, 	0.334419%, 	0.350000%, 	-0.015581%
2020-04-10 06:54:14, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.595, 	3.2629, 	0.552775%, 	0.350000%, 	0.202775%
2020-04-10 06:54:29, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.596, 	1.0, 	0.530896%, 	0.350000%, 	0.180896%
2020-04-10 06:54:44, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.621, 	663.2, 	-0.012984%, 	0.350000%, 	-0.362984%
2020-04-10 08:47:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	972.5935, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 08:47:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	112.677, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 08:47:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	112.677, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 08:48:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.543, 	65.5935, 	1.703720%, 	0.350000%, 	1.353720%
2020-04-10 08:48:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.543, 	65.5935, 	1.703720%, 	0.350000%, 	1.353720%
2020-04-10 08:48:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	15.8732, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 08:48:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	15.8732, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 08:49:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	900.0, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 08:49:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	965.5935, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 08:49:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.549, 	65.5935, 	1.569576%, 	0.350000%, 	1.219576%
2020-04-10 08:49:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.552, 	65.5935, 	1.502636%, 	0.350000%, 	1.152636%
2020-04-10 08:50:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.554, 	67.0935, 	1.458059%, 	0.350000%, 	1.108059%
2020-04-10 08:50:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	65.5935, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:50:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	90.3286, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:50:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	155.9221, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	90.3286, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	150.428, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	84.8345, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:51:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	84.8345, 	1.480343%, 	0.350000%, 	1.130343%
2020-04-10 08:52:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.553, 	83.8345, 	1.480343%, 	0.350000%, 	1.130343%
