2020-04-07 22:04:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077217, 	4.95027998, 	0.007594, 	7.0, 	1.681591%, 	0.350000%, 	1.331591%
2020-04-07 22:05:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077236, 	6.13881085, 	0.007594, 	7.0, 	1.706610%, 	0.350000%, 	1.356610%
2020-04-07 22:05:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077114, 	6.13881085, 	0.00759, 	7.0, 	1.599473%, 	0.350000%, 	1.249473%
2020-04-07 22:06:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077205, 	7.0, 	0.007588, 	14.73931789, 	1.746178%, 	0.350000%, 	1.396178%
2020-04-07 22:06:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077285, 	7.0, 	0.007586, 	13.95744164, 	1.878460%, 	0.350000%, 	1.528460%
2020-04-07 22:07:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077326, 	7.0, 	0.007584, 	13.79126025, 	1.959388%, 	0.350000%, 	1.609388%
2020-04-07 22:07:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077104, 	4.96639695, 	0.00758, 	7.0, 	1.720317%, 	0.350000%, 	1.370317%
2020-04-07 22:08:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077151, 	8.15406369, 	0.00758, 	13.86580319, 	1.782322%, 	0.350000%, 	1.432322%
2020-04-07 22:08:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077221, 	7.97564451, 	0.00758, 	13.61625198, 	1.874670%, 	0.350000%, 	1.524670%
2020-04-07 22:09:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077111, 	4.96723064, 	0.007578, 	7.0, 	1.756400%, 	0.350000%, 	1.406400%
2020-04-07 22:09:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077108, 	4.96740349, 	0.007575, 	6.91898221, 	1.792739%, 	0.350000%, 	1.442739%
2020-04-07 22:10:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077105, 	6.21279366, 	0.0076, 	7.0, 	1.453947%, 	0.350000%, 	1.103947%
2020-04-07 22:10:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077097, 	6.71592255, 	0.0076, 	7.0, 	1.443421%, 	0.350000%, 	1.093421%
2020-04-07 22:11:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077085, 	11.67355111, 	0.0076, 	7.0, 	1.427632%, 	0.350000%, 	1.077632%
2020-04-07 22:11:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077083, 	1.31373862, 	0.0076, 	7.0, 	1.425000%, 	0.350000%, 	1.075000%
2020-04-07 22:12:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.007711, 	1.94781381, 	0.0076, 	8.44524394, 	1.460526%, 	0.350000%, 	1.110526%
2020-04-07 22:12:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077087, 	2.49661882, 	0.0076, 	7.0, 	1.430263%, 	0.350000%, 	1.080263%
2020-04-07 22:13:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077105, 	2.89931661, 	0.0076, 	7.0, 	1.453947%, 	0.350000%, 	1.103947%
2020-04-07 22:13:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077127, 	3.22505278, 	0.007566, 	6.92125984, 	1.938937%, 	0.350000%, 	1.588937%
2020-04-07 22:14:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077131, 	6.39649117, 	0.007566, 	7.0, 	1.944224%, 	0.350000%, 	1.594224%
2020-04-07 22:14:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077285, 	7.0, 	0.007566, 	15.84802527, 	2.147766%, 	0.350000%, 	1.797766%
2020-04-07 22:15:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077329, 	14.3995263, 	0.007566, 	6.56432659, 	2.205921%, 	0.350000%, 	1.855921%
2020-04-07 22:15:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077332, 	7.0, 	0.007566, 	16.08795788, 	2.209886%, 	0.350000%, 	1.859886%
2020-04-07 22:16:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077322, 	7.0, 	0.007566, 	5.89884566, 	2.196669%, 	0.350000%, 	1.846669%
2020-04-07 22:16:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077327, 	7.0, 	0.007566, 	5.36583229, 	2.203278%, 	0.350000%, 	1.853278%
2020-04-07 22:17:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077275, 	9.43551357, 	0.007566, 	4.39891756, 	2.134549%, 	0.350000%, 	1.784549%
2020-04-07 22:17:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077293, 	7.0, 	0.007566, 	5.52247261, 	2.158340%, 	0.350000%, 	1.808340%
2020-04-07 22:18:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077301, 	7.0, 	0.007566, 	5.66541634, 	2.168914%, 	0.350000%, 	1.818914%
2020-04-07 22:18:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077322, 	7.0, 	0.007566, 	5.84735219, 	2.196669%, 	0.350000%, 	1.846669%
2020-04-07 22:19:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077346, 	7.0, 	0.007566, 	15.30525929, 	2.228390%, 	0.350000%, 	1.878390%
2020-04-07 22:19:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077333, 	7.0, 	0.007566, 	5.95819714, 	2.211208%, 	0.350000%, 	1.861208%
2020-04-07 22:20:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077309, 	7.0, 	0.007566, 	7.0, 	2.179487%, 	0.350000%, 	1.829487%
2020-04-07 22:20:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077293, 	4.91830907, 	0.007566, 	5.19936543, 	2.158340%, 	0.350000%, 	1.808340%
2020-04-07 22:21:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077274, 	4.66230928, 	0.007566, 	7.0, 	2.133228%, 	0.350000%, 	1.783228%
2020-04-07 22:21:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077286, 	4.74499898, 	0.007566, 	7.0, 	2.149088%, 	0.350000%, 	1.799088%
2020-04-07 22:22:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077296, 	4.75789973, 	0.007566, 	7.0, 	2.162305%, 	0.350000%, 	1.812305%
2020-04-07 22:22:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077296, 	4.88305772, 	0.007566, 	7.0, 	2.162305%, 	0.350000%, 	1.812305%
2020-04-07 22:23:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077328, 	4.9305606, 	0.007566, 	4.79993265, 	2.204600%, 	0.350000%, 	1.854600%
