2020-04-10 08:21:30, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023082, 	36.33630718, 	0.02294414, 	24.0, 	0.600851%, 	0.290000%, 	0.310851%
2020-04-10 08:21:45, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023063, 	3.48, 	0.02296354, 	6.0, 	0.433121%, 	0.290000%, 	0.143121%
2020-04-10 08:22:00, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023061, 	14.34386697, 	0.02297395, 	24.0, 	0.378907%, 	0.290000%, 	0.088907%
2020-04-10 08:22:15, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023076, 	5.0, 	0.02296307, 	6.0, 	0.491790%, 	0.290000%, 	0.201790%
2020-04-10 08:22:30, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023054, 	25.0, 	0.02296288, 	24.0, 	0.396814%, 	0.290000%, 	0.106814%
2020-04-10 08:22:45, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023047, 	20.0, 	0.02294972, 	24.0, 	0.423883%, 	0.290000%, 	0.133883%
2020-04-10 08:23:00, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023048, 	5.0, 	0.02294787, 	24.0, 	0.436337%, 	0.290000%, 	0.146337%
2020-04-10 08:23:15, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023048, 	5.0, 	0.02296085, 	24.0, 	0.379559%, 	0.290000%, 	0.089559%
2020-04-10 08:23:30, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023044, 	104.82253737, 	0.02294338, 	0.14875402, 	0.438558%, 	0.290000%, 	0.148558%
2020-04-10 08:23:45, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.02305, 	25.0, 	0.02293965, 	0.69875652, 	0.481045%, 	0.290000%, 	0.191045%
2020-04-10 08:24:00, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023056, 	25.0, 	0.0229342, 	3.11535131, 	0.531085%, 	0.290000%, 	0.241085%
2020-04-10 08:24:15, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023055, 	5.0, 	0.0229293, 	24.0, 	0.548207%, 	0.290000%, 	0.258207%
2020-04-10 08:24:30, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.023024, 	20.0, 	0.02293563, 	0.0991, 	0.385296%, 	0.290000%, 	0.095296%
2020-04-10 08:24:45, 	Bitfinex    , 	Poloniex    , 	ETH/BTC, 	0.022956, 	66.98270327, 	0.02292298, 	24.0, 	0.144048%, 	0.290000%, 	-0.145952%
