2020-04-08 19:00:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	458.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:00:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	204.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:00:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	282.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:00:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	331.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:01:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	417.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:01:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	344.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:01:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	388.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:01:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	146.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:02:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.634e-05, 	324.0, 	1.366743%, 	0.350000%, 	1.016743%
2020-04-08 19:02:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.635e-05, 	2721.0, 	1.328273%, 	0.350000%, 	0.978273%
2020-04-08 19:02:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	6654.0, 	1.251422%, 	0.350000%, 	0.901422%
2020-04-08 19:02:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	122.0, 	1.251422%, 	0.350000%, 	0.901422%
2020-04-08 19:03:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.64e-05, 	2285.0, 	1.136364%, 	0.350000%, 	0.786364%
2020-04-08 19:03:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.644e-05, 	612.0, 	0.983359%, 	0.350000%, 	0.633359%
2020-04-08 19:03:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.644e-05, 	61.0, 	0.983359%, 	0.350000%, 	0.633359%
2020-04-08 19:03:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.644e-05, 	68.0, 	0.983359%, 	0.350000%, 	0.633359%
2020-04-08 19:04:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.674e-05, 	4999.9, 	2.648e-05, 	2467.0, 	0.981873%, 	0.350000%, 	0.631873%
2020-04-08 19:04:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.677e-05, 	4999.9, 	2.647e-05, 	61.0, 	1.133359%, 	0.350000%, 	0.783359%
2020-04-08 19:04:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.678e-05, 	593.32083932, 	2.648e-05, 	2770.0, 	1.132931%, 	0.350000%, 	0.782931%
2020-04-08 19:04:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.678e-05, 	593.32083932, 	2.648e-05, 	836.0, 	1.132931%, 	0.350000%, 	0.782931%
2020-04-08 19:05:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.678e-05, 	593.32083932, 	2.647e-05, 	4.0, 	1.171137%, 	0.350000%, 	0.821137%
2020-04-08 19:05:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.65e-05, 	7228.0, 	1.886792%, 	0.350000%, 	1.536792%
2020-04-08 19:05:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.649e-05, 	378.0, 	1.925255%, 	0.350000%, 	1.575255%
2020-04-08 19:05:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.648e-05, 	200.0, 	1.963746%, 	0.350000%, 	1.613746%
2020-04-08 19:06:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.648e-05, 	3.0, 	1.963746%, 	0.350000%, 	1.613746%
2020-04-08 19:06:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	73.72701099, 	2.651e-05, 	242.0, 	2.225575%, 	0.350000%, 	1.875575%
2020-04-08 19:06:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.682e-05, 	626.72611207, 	2.651e-05, 	179.0, 	1.169370%, 	0.350000%, 	0.819370%
2020-04-08 19:06:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.654e-05, 	544.0, 	2.110023%, 	0.350000%, 	1.760023%
2020-04-08 19:07:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.655e-05, 	6191.0, 	2.071563%, 	0.350000%, 	1.721563%
2020-04-08 19:07:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.654e-05, 	1572.0, 	2.110023%, 	0.350000%, 	1.760023%
2020-04-08 19:07:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.656e-05, 	1324.0, 	2.033133%, 	0.350000%, 	1.683133%
2020-04-08 19:07:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.689e-05, 	606.01791099, 	2.659e-05, 	9797.0, 	1.128244%, 	0.350000%, 	0.778244%
2020-04-08 19:08:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.659e-05, 	28.0, 	1.241068%, 	0.350000%, 	0.891068%
2020-04-08 19:08:26, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.66e-05, 	14508.0, 	1.203008%, 	0.350000%, 	0.853008%
2020-04-08 19:08:41, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.66e-05, 	14388.0, 	1.203008%, 	0.350000%, 	0.853008%
2020-04-08 19:08:56, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.659e-05, 	748.0, 	1.241068%, 	0.350000%, 	0.891068%
2020-04-08 19:09:11, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.659e-05, 	811.0, 	1.504325%, 	0.350000%, 	1.154325%
