2020-04-10 16:18:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	6229.0036999, 	2.188e-05, 	988.0, 	0.548446%, 	0.350000%, 	0.198446%
2020-04-10 16:18:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	6229.0036999, 	2.188e-05, 	669.0, 	0.548446%, 	0.350000%, 	0.198446%
2020-04-10 16:18:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	7138.82524199, 	2.188e-05, 	669.0, 	0.548446%, 	0.350000%, 	0.198446%
2020-04-10 16:19:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	7138.82524199, 	2.188e-05, 	1243.0, 	0.548446%, 	0.350000%, 	0.198446%
2020-04-10 16:19:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	7138.82524199, 	2.188e-05, 	1243.0, 	0.548446%, 	0.350000%, 	0.198446%
2020-04-10 16:19:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	7138.82524199, 	2.188e-05, 	617.0, 	0.548446%, 	0.350000%, 	0.198446%
2020-04-10 16:19:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	7138.82524199, 	2.188e-05, 	617.0, 	0.548446%, 	0.350000%, 	0.198446%
2020-04-10 16:20:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	7138.82524199, 	2.184e-05, 	607.0, 	0.732601%, 	0.350000%, 	0.382601%
2020-04-10 16:20:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	7773.52524199, 	2.181e-05, 	19.0, 	0.871160%, 	0.350000%, 	0.521160%
2020-04-10 16:20:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	5818.72524199, 	2.184e-05, 	8.0, 	0.732601%, 	0.350000%, 	0.382601%
2020-04-10 16:20:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	5818.72524199, 	2.187e-05, 	20.0, 	0.594422%, 	0.350000%, 	0.244422%
2020-04-10 16:21:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	5818.72524199, 	2.181e-05, 	8.0, 	0.871160%, 	0.350000%, 	0.521160%
2020-04-10 16:21:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	4987.72524199, 	2.18e-05, 	70.0, 	0.917431%, 	0.350000%, 	0.567431%
2020-04-10 16:21:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	1470.72524199, 	2.186e-05, 	6697.0, 	0.640439%, 	0.350000%, 	0.290439%
2020-04-10 16:21:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	77.72524199, 	2.191e-05, 	1961.0, 	0.410771%, 	0.350000%, 	0.060771%
2020-04-10 16:22:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	77.72524199, 	2.191e-05, 	25.0, 	0.410771%, 	0.350000%, 	0.060771%
2020-04-10 16:22:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	77.72524199, 	2.181e-05, 	19.0, 	0.871160%, 	0.350000%, 	0.521160%
2020-04-10 16:22:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	22.72524199, 	2.186e-05, 	319.0, 	0.640439%, 	0.350000%, 	0.290439%
2020-04-10 16:22:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	22.72524199, 	2.186e-05, 	319.0, 	0.640439%, 	0.350000%, 	0.290439%
2020-04-10 16:23:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.2e-05, 	22.72524199, 	2.186e-05, 	319.0, 	0.640439%, 	0.350000%, 	0.290439%
2020-04-10 16:23:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	234.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:23:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	234.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:23:59, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.187e-05, 	5628.0, 	0.365798%, 	0.350000%, 	0.015798%
2020-04-10 16:24:14, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	234.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:24:29, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	234.0, 	0.411711%, 	0.350000%, 	0.061711%
2020-04-10 16:24:44, 	Bittrex     , 	Binance     , 	GRS/BTC, 	2.195e-05, 	385.08417137, 	2.186e-05, 	234.0, 	0.411711%, 	0.350000%, 	0.061711%
