2020-04-08 14:02:40, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:02:55, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:03:10, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:03:25, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:03:40, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:03:55, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:04:10, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:04:25, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:04:40, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.03e-06, 	28432.50550031, 	0.492611%, 	0.350000%, 	0.142611%
2020-04-08 14:04:55, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.04e-06, 	188.82607249, 	2.04e-06, 	28432.50550031, 	0.000000%, 	0.350000%, 	-0.350000%
2020-04-10 05:24:43, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	22821.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:24:58, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	22821.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:25:13, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	22821.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:25:28, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	22821.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:25:43, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	22760.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:25:58, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	22760.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:26:13, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	22823.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:26:29, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.04e-06, 	95135.0, 	0.490196%, 	0.350000%, 	0.140196%
2020-04-10 05:26:44, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.04e-06, 	150832.0, 	0.490196%, 	0.350000%, 	0.140196%
2020-04-10 05:26:59, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.05e-06, 	5.0, 	2.03e-06, 	38027.0, 	0.985222%, 	0.350000%, 	0.635222%
2020-04-10 05:27:14, 	Bittrex     , 	Binance     , 	NKN/BTC, 	2.01e-06, 	600.0, 	2.03e-06, 	38027.0, 	-0.985222%, 	0.350000%, 	-1.335222%
