2020-04-08 19:04:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:05:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:05:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:05:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:05:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:06:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:06:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:06:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:06:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	5.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:07:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	217.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:07:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	379.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:07:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	379.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:07:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5832.36272773, 	1.231e-05, 	379.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:08:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:08:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:08:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:08:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:09:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:09:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:09:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:09:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:10:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:10:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:10:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.231e-05, 	37.0, 	0.649878%, 	0.350000%, 	0.299878%
2020-04-08 19:10:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.232e-05, 	388.0, 	0.568182%, 	0.350000%, 	0.218182%
2020-04-08 19:11:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.232e-05, 	388.0, 	0.568182%, 	0.350000%, 	0.218182%
2020-04-08 19:11:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.232e-05, 	388.0, 	0.568182%, 	0.350000%, 	0.218182%
2020-04-08 19:11:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.23e-05, 	388.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:11:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.23e-05, 	388.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:12:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	5545.36272773, 	1.23e-05, 	388.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:12:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	4262.87272773, 	1.23e-05, 	388.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:12:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	38.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:12:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	38.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:13:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:13:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:13:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:13:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:14:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:14:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:14:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:14:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	34.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:15:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:15:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:15:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:15:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:16:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:16:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:16:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:16:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:17:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:17:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:17:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:17:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	3064.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:18:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	2664.55172773, 	1.23e-05, 	31.0, 	0.731707%, 	0.350000%, 	0.381707%
2020-04-08 19:18:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	2264.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:18:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:18:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:19:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:19:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:19:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:19:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:20:13, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:20:28, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1864.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:20:43, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.239e-05, 	1464.55172773, 	1.233e-05, 	92.0, 	0.486618%, 	0.350000%, 	0.136618%
2020-04-08 19:20:58, 	Bittrex     , 	Binance     , 	ONG/BTC, 	1.223e-05, 	400.0, 	1.233e-05, 	92.0, 	-0.811030%, 	0.350000%, 	-1.161030%
