2020-04-08 20:34:28, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.724e-05, 	4.0, 	0.483351%, 	0.350000%, 	0.133351%
2020-04-08 20:34:43, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.724e-05, 	4.0, 	0.483351%, 	0.350000%, 	0.133351%
2020-04-08 20:34:58, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.724e-05, 	4.0, 	0.483351%, 	0.350000%, 	0.133351%
2020-04-08 20:35:13, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.724e-05, 	4.0, 	0.483351%, 	0.350000%, 	0.133351%
2020-04-08 20:35:28, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.724e-05, 	4.0, 	0.483351%, 	0.350000%, 	0.133351%
2020-04-08 20:35:43, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.724e-05, 	4.0, 	0.483351%, 	0.350000%, 	0.133351%
2020-04-08 20:35:58, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.724e-05, 	4.0, 	0.483351%, 	0.350000%, 	0.133351%
2020-04-08 20:36:13, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.742e-05, 	230.12496254, 	3.732e-05, 	100.0, 	0.267953%, 	0.350000%, 	-0.082047%
2020-04-09 18:55:09, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:55:24, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:55:39, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:55:54, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:56:09, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:56:24, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:56:39, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:56:54, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:57:09, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:57:24, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:57:39, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:57:54, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:58:09, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:58:24, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:58:39, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:58:54, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.749e-05, 	33.0, 	0.373433%, 	0.350000%, 	0.023433%
2020-04-09 18:59:09, 	Bittrex     , 	Binance     , 	PIVX/BTC, 	3.763e-05, 	10.93922999, 	3.75e-05, 	36.0, 	0.346667%, 	0.350000%, 	-0.003333%
