2020-04-09 01:16:59, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	13.41456373, 	8.22e-06, 	2260.0, 	0.729927%, 	0.350000%, 	0.379927%
2020-04-09 01:17:14, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	13.41456373, 	8.22e-06, 	2260.0, 	0.729927%, 	0.350000%, 	0.379927%
2020-04-09 01:17:29, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	13.41456373, 	8.22e-06, 	2260.0, 	0.729927%, 	0.350000%, 	0.379927%
2020-04-09 01:17:44, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	13.41456373, 	8.22e-06, 	2260.0, 	0.729927%, 	0.350000%, 	0.379927%
2020-04-09 01:17:59, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	13.41456373, 	8.22e-06, 	2260.0, 	0.729927%, 	0.350000%, 	0.379927%
2020-04-09 01:18:14, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.14e-06, 	61.42628992, 	8.22e-06, 	2260.0, 	-0.973236%, 	0.350000%, 	-1.323236%
2020-04-09 14:25:22, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:25:37, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:25:52, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:26:07, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:26:22, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:26:37, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:26:52, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:27:07, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:27:22, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:27:37, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.24e-06, 	2042.0, 	0.485437%, 	0.350000%, 	0.135437%
2020-04-09 14:27:52, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.28e-06, 	6913.21833552, 	8.26e-06, 	4399.0, 	0.242131%, 	0.350000%, 	-0.107869%
2020-04-10 08:08:48, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	983.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:09:03, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	983.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:09:18, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	983.0, 	0.849515%, 	0.350000%, 	0.499515%
2020-04-10 08:09:33, 	Bittrex     , 	Binance     , 	POWR/BTC, 	8.31e-06, 	10.28453922, 	8.24e-06, 	983.0, 	0.849515%, 	0.350000%, 	0.499515%
