2020-04-10 06:59:25, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 06:59:40, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.352e-05, 	3993.0, 	1.257396%, 	0.350000%, 	0.907396%
2020-04-10 06:59:55, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.353e-05, 	1558.0, 	1.182557%, 	0.350000%, 	0.832557%
2020-04-10 07:00:10, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.352e-05, 	1459.0, 	1.257396%, 	0.350000%, 	0.907396%
2020-04-10 07:00:25, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.353e-05, 	294.0, 	1.182557%, 	0.350000%, 	0.832557%
2020-04-10 07:00:40, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:00:55, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:01:10, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:01:25, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:01:40, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:01:55, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:02:10, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:02:25, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:02:40, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:02:56, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:03:11, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:03:26, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.354e-05, 	83.0, 	1.107829%, 	0.350000%, 	0.757829%
2020-04-10 07:03:41, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.353e-05, 	294.0, 	1.182557%, 	0.350000%, 	0.832557%
2020-04-10 07:03:56, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.353e-05, 	294.0, 	1.182557%, 	0.350000%, 	0.832557%
2020-04-10 07:04:11, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.352e-05, 	1558.0, 	1.257396%, 	0.350000%, 	0.907396%
2020-04-10 07:04:26, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.351e-05, 	275.0, 	1.332346%, 	0.350000%, 	0.982346%
2020-04-10 07:04:41, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.35e-05, 	1558.0, 	1.407407%, 	0.350000%, 	1.057407%
2020-04-10 07:04:56, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.369e-05, 	7.69, 	1.35e-05, 	1558.0, 	1.407407%, 	0.350000%, 	1.057407%
2020-04-10 07:05:11, 	Bittrex     , 	Binance     , 	STORJ/BTC, 	1.351e-05, 	433.33919152, 	1.348e-05, 	938.0, 	0.222552%, 	0.350000%, 	-0.127448%
