2020-04-10 13:28:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:29:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:30:49, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:31:04, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:31:19, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
2020-04-10 13:31:34, 	Bittrex     , 	Binance     , 	SYS/BTC, 	2.73e-06, 	518.65611396, 	2.72e-06, 	9124.0, 	0.367647%, 	0.350000%, 	0.017647%
