2020-04-08 19:54:46, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:55:01, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:55:16, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:55:31, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:55:46, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:56:01, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:56:16, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:56:31, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:56:46, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:57:01, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:57:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:57:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:57:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:58:02, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:58:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:58:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:58:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.716e-05, 	139.32355615, 	2.7e-05, 	4999.975, 	0.592593%, 	0.450000%, 	0.142593%
2020-04-08 19:59:02, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 19:59:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 19:59:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 19:59:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 20:00:02, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 20:00:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 20:00:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 20:00:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
2020-04-08 20:01:02, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.719e-05, 	138.10661845, 	2.7e-05, 	4999.975, 	0.703704%, 	0.450000%, 	0.253704%
