2020-04-08 00:15:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.3e-06, 	3371.86948441, 	4.26e-06, 	29999.99999995, 	0.938967%, 	0.450000%, 	0.488967%
2020-04-08 00:15:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	34315.7353006, 	4.26e-06, 	4332.42584151, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:16:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	33990.01336649, 	4.26e-06, 	4058.42584151, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:16:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.28e-06, 	25995.60452877, 	4.26e-06, 	3833.42584151, 	0.469484%, 	0.450000%, 	0.019484%
2020-04-08 00:17:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.28e-06, 	26825.84240149, 	4.26e-06, 	37508.43920797, 	0.469484%, 	0.450000%, 	0.019484%
2020-04-08 00:17:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	4113.18143115, 	4.26e-06, 	38183.03037025, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:18:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	4113.18143115, 	4.26e-06, 	38038.03037025, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:18:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	4113.18143115, 	4.26e-06, 	37742.03037025, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:19:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	4113.18143115, 	4.26e-06, 	37505.03037025, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:19:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	4113.18143115, 	4.26e-06, 	37226.03037025, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:20:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	5920.53957417, 	4.26e-06, 	36759.03037025, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:20:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	6097.56288419, 	4.26e-06, 	32689.60452874, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:21:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	6097.56288419, 	4.26e-06, 	32400.60452874, 	0.704225%, 	0.450000%, 	0.254225%
2020-04-08 00:21:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	6626.23421286, 	4.25e-06, 	31939.60452874, 	0.941176%, 	0.450000%, 	0.491176%
2020-04-08 00:22:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	7090.45798908, 	4.25e-06, 	31644.60452874, 	0.941176%, 	0.450000%, 	0.491176%
2020-04-08 00:22:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	7387.52092614, 	4.25e-06, 	31394.60452874, 	0.941176%, 	0.450000%, 	0.491176%
2020-04-08 00:23:26, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	7830.84474018, 	4.25e-06, 	31207.60452874, 	0.941176%, 	0.450000%, 	0.491176%
2020-04-08 00:23:56, 	Bittrex     , 	Bitfinex    , 	WAXP/BTC, 	4.29e-06, 	8134.9682833, 	4.25e-06, 	30876.60452874, 	0.941176%, 	0.450000%, 	0.491176%
