2020-04-08 19:01:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	1765.975, 	1.251422%, 	0.510000%, 	0.741422%
2020-04-08 19:01:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	1765.975, 	1.251422%, 	0.510000%, 	0.741422%
2020-04-08 19:01:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	1765.975, 	1.251422%, 	0.510000%, 	0.741422%
2020-04-08 19:02:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	1765.975, 	1.251422%, 	0.510000%, 	0.741422%
2020-04-08 19:02:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	1765.975, 	1.251422%, 	0.510000%, 	0.741422%
2020-04-08 19:02:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	1765.975, 	1.251422%, 	0.510000%, 	0.741422%
2020-04-08 19:02:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.637e-05, 	1765.975, 	1.251422%, 	0.510000%, 	0.741422%
2020-04-08 19:03:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.642e-05, 	1759.006, 	1.059803%, 	0.510000%, 	0.549803%
2020-04-08 19:03:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.65e-05, 	2549.27, 	0.754717%, 	0.510000%, 	0.244717%
2020-04-08 19:03:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.65e-05, 	2679.719, 	0.754717%, 	0.510000%, 	0.244717%
2020-04-08 19:03:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.65e-05, 	2679.719, 	0.754717%, 	0.510000%, 	0.244717%
2020-04-08 19:04:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.67e-05, 	141.46939049, 	2.65e-05, 	2679.719, 	0.754717%, 	0.510000%, 	0.244717%
2020-04-08 19:04:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.677e-05, 	611.4137567, 	2.65e-05, 	2549.27, 	1.018868%, 	0.510000%, 	0.508868%
2020-04-08 19:04:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.678e-05, 	593.32083932, 	2.65e-05, 	2549.27, 	1.056604%, 	0.510000%, 	0.546604%
2020-04-08 19:04:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.678e-05, 	593.32083932, 	2.65e-05, 	2549.27, 	1.056604%, 	0.510000%, 	0.546604%
2020-04-08 19:05:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.678e-05, 	593.32083932, 	2.65e-05, 	2549.27, 	1.056604%, 	0.510000%, 	0.546604%
2020-04-08 19:05:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.65e-05, 	2549.27, 	1.886792%, 	0.510000%, 	1.376792%
2020-04-08 19:05:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.65e-05, 	2549.27, 	1.886792%, 	0.510000%, 	1.376792%
2020-04-08 19:05:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.65e-05, 	2549.27, 	1.886792%, 	0.510000%, 	1.376792%
2020-04-08 19:06:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.7e-05, 	171.21994558, 	2.65e-05, 	2549.27, 	1.886792%, 	0.510000%, 	1.376792%
2020-04-08 19:06:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	73.72701099, 	2.652e-05, 	1751.93, 	2.187029%, 	0.510000%, 	1.677029%
2020-04-08 19:06:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.681e-05, 	4999.9, 	2.656e-05, 	180.73, 	0.941265%, 	0.510000%, 	0.431265%
2020-04-08 19:06:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.655e-05, 	50.05, 	2.071563%, 	0.510000%, 	1.561563%
2020-04-08 19:07:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.655e-05, 	50.05, 	2.071563%, 	0.510000%, 	1.561563%
2020-04-08 19:07:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.661e-05, 	50.05, 	1.841413%, 	0.510000%, 	1.331413%
2020-04-08 19:07:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	170.58813766, 	2.66e-05, 	1888.727, 	1.879699%, 	0.510000%, 	1.369699%
2020-04-08 19:07:53, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.689e-05, 	606.01791099, 	2.66e-05, 	1745.401, 	1.090226%, 	0.510000%, 	0.580226%
2020-04-08 19:08:08, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.66e-05, 	1745.401, 	1.203008%, 	0.510000%, 	0.693008%
2020-04-08 19:08:23, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.662e-05, 	400.775, 	1.126972%, 	0.510000%, 	0.616972%
2020-04-08 19:08:38, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.662e-05, 	400.775, 	1.126972%, 	0.510000%, 	0.616972%
