2020-04-09 19:39:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:39:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:39:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:39:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:40:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:40:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:40:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:40:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:41:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:41:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:41:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:41:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:42:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:42:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:42:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:42:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:43:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:43:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:43:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:43:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:44:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:44:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:44:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:44:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:45:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:45:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:45:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:45:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:46:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:46:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:46:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:46:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:47:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:47:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:47:39, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:47:54, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:48:09, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.03088, 	0.00069143, 	1.0263, 	182.8395, 	0.446263%, 	0.400000%, 	0.046263%
2020-04-09 19:48:24, 	Bittrex     , 	OKEX        , 	DAI/USDT, 	1.027937, 	10.0, 	1.0263, 	182.8395, 	0.159505%, 	0.400000%, 	-0.240495%
