2020-04-10 04:41:00, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:41:15, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:41:30, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:41:45, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:42:00, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:42:15, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:42:30, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:42:45, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7082.639, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:43:00, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7082.639, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:43:15, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:43:30, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:43:45, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:44:00, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:44:15, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:44:30, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:44:45, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:45:00, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:45:15, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7082.639, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:45:30, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7082.639, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:45:45, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7082.639, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:46:00, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7082.639, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:46:15, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7082.639, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:46:30, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:46:45, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:47:00, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:47:15, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:47:30, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.1e-06, 	7793.879, 	0.487805%, 	0.400000%, 	0.087805%
2020-04-10 04:47:45, 	Bittrex     , 	OKEX        , 	LRC/BTC, 	4.12e-06, 	201.21298878, 	4.11e-06, 	1191.24, 	0.243309%, 	0.400000%, 	-0.156691%
