2020-04-10 00:46:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900021, 	4625.82690615, 	0.2838, 	660.557, 	2.185377%, 	0.400000%, 	1.785377%
2020-04-10 00:47:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900021, 	4625.82690615, 	0.2838, 	660.557, 	2.185377%, 	0.400000%, 	1.785377%
2020-04-10 00:47:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900021, 	4625.82690615, 	0.2838, 	660.557, 	2.185377%, 	0.400000%, 	1.785377%
2020-04-10 00:47:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900021, 	4625.82690615, 	0.2838, 	660.557, 	2.185377%, 	0.400000%, 	1.785377%
2020-04-10 00:47:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900021, 	4625.82690615, 	0.2838, 	660.557, 	2.185377%, 	0.400000%, 	1.785377%
2020-04-10 00:48:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900023, 	4625.82465489, 	0.2838, 	660.557, 	2.185447%, 	0.400000%, 	1.785447%
2020-04-10 00:48:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000248, 	1342.08935703, 	0.2838, 	660.557, 	2.185511%, 	0.400000%, 	1.785511%
2020-04-10 00:48:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000249, 	4625.8225162, 	0.2838, 	660.557, 	2.185514%, 	0.400000%, 	1.785514%
2020-04-10 00:48:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000262, 	4569.27034555, 	0.2838, 	660.557, 	2.185560%, 	0.400000%, 	1.785560%
2020-04-10 00:49:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000262, 	4569.27034555, 	0.2838, 	660.557, 	2.185560%, 	0.400000%, 	1.785560%
2020-04-10 00:49:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000273, 	4472.72978084, 	0.2838, 	660.557, 	2.185599%, 	0.400000%, 	1.785599%
2020-04-10 00:49:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000273, 	4472.72978084, 	0.2838, 	660.557, 	2.185599%, 	0.400000%, 	1.785599%
2020-04-10 00:49:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000273, 	4472.72978084, 	0.2838, 	660.557, 	2.185599%, 	0.400000%, 	1.785599%
2020-04-10 00:50:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000301, 	4472.72662717, 	0.2838, 	660.557, 	2.185698%, 	0.400000%, 	1.785698%
2020-04-10 00:50:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000301, 	4472.72662717, 	0.2838, 	660.557, 	2.185698%, 	0.400000%, 	1.785698%
2020-04-10 00:50:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000301, 	4472.72662717, 	0.2838, 	660.557, 	2.185698%, 	0.400000%, 	1.785698%
2020-04-10 00:50:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000301, 	4472.72662717, 	0.2838, 	660.557, 	2.185698%, 	0.400000%, 	1.785698%
2020-04-10 00:51:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000301, 	4472.72662717, 	0.2838, 	660.557, 	2.185698%, 	0.400000%, 	1.785698%
2020-04-10 00:51:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000317, 	4382.09801603, 	0.2838, 	660.557, 	2.185754%, 	0.400000%, 	1.785754%
2020-04-10 00:51:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000317, 	4382.09801603, 	0.2838, 	660.557, 	2.185754%, 	0.400000%, 	1.785754%
2020-04-10 00:51:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000317, 	4382.09801603, 	0.2838, 	660.557, 	2.185754%, 	0.400000%, 	1.785754%
2020-04-10 00:52:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000317, 	4382.09801603, 	0.2838, 	660.557, 	2.185754%, 	0.400000%, 	1.785754%
2020-04-10 00:52:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000335, 	4382.09599574, 	0.2838, 	660.557, 	2.185817%, 	0.400000%, 	1.785817%
