2020-04-08 08:38:06, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.48e-06, 	31.38469889, 	4.46e-06, 	7018.00677369, 	0.448430%, 	0.400000%, 	0.048430%
2020-04-08 08:38:36, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	7506.96942595, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:39:06, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	7514.75301236, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:39:36, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	7002.64468768, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:40:06, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	1488.21221674, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:40:36, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	6480.29743505, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:41:06, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	6515.80023149, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:41:36, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	826.18564699, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:42:06, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.49e-06, 	494.36892623, 	4.46e-06, 	7027.78568816, 	0.672646%, 	0.400000%, 	0.272646%
2020-04-08 08:42:36, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.48e-06, 	31.38469889, 	4.46e-06, 	487.32759011, 	0.448430%, 	0.400000%, 	0.048430%
2020-04-08 08:43:06, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.48e-06, 	31.38469889, 	4.49e-06, 	487.32759011, 	-0.222717%, 	0.400000%, 	-0.622717%
2020-04-08 09:18:45, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:19:15, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:21:32, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:22:02, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:22:32, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:23:02, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:23:32, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:24:02, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:24:32, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-08 09:25:02, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.46e-06, 	125.0, 	4.44e-06, 	7.00592611, 	0.450450%, 	0.400000%, 	0.050450%
2020-04-09 18:30:46, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.5e-06, 	379.61, 	4.46e-06, 	232.9, 	0.896861%, 	0.400000%, 	0.496861%
2020-04-09 18:31:01, 	Bittrex     , 	OKEX        , 	PAY/BTC, 	4.5e-06, 	379.61, 	4.5e-06, 	8926.544, 	0.000000%, 	0.400000%, 	-0.400000%
