2020-04-09 18:55:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:55:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:55:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:56:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:56:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:56:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:56:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:57:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:57:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:57:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:57:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:58:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:58:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:58:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:58:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:59:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:59:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 18:59:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
