2020-04-07 21:12:15, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.336, 	0.15107651, 	0.326, 	0.38427052, 	3.067485%, 	0.400000%, 	2.667485%
2020-04-07 21:12:45, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.336, 	0.15107651, 	0.326, 	60.26847452, 	3.067485%, 	0.400000%, 	2.667485%
2020-04-07 21:13:15, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.336, 	0.15107651, 	0.326, 	0.25541399, 	3.067485%, 	0.400000%, 	2.667485%
2020-04-07 21:13:45, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.336, 	0.15107651, 	0.326, 	0.0769, 	3.067485%, 	0.400000%, 	2.667485%
2020-04-07 21:14:15, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3360001, 	2.09431096, 	0.326, 	0.0769, 	3.067515%, 	0.400000%, 	2.667515%
2020-04-07 21:14:45, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33600016, 	2.47854912, 	0.326, 	0.0769, 	3.067534%, 	0.400000%, 	2.667534%
2020-04-07 21:15:15, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33600026, 	41.85076713, 	0.326, 	0.0769, 	3.067564%, 	0.400000%, 	2.667564%
2020-04-07 21:15:45, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3368375, 	4.16016007, 	0.326, 	0.0769, 	3.324387%, 	0.400000%, 	2.924387%
2020-04-07 21:16:15, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33683751, 	4.513, 	0.326, 	0.0769, 	3.324390%, 	0.400000%, 	2.924390%
2020-04-07 21:16:45, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33607976, 	4.26769, 	0.326, 	0.0769, 	3.091951%, 	0.400000%, 	2.691951%
2020-04-07 21:17:15, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33699696, 	3.9276947, 	0.326, 	0.077, 	3.373301%, 	0.400000%, 	2.973301%
2020-04-07 21:41:48, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33592432, 	0.36345894, 	0.329, 	4.49, 	2.104657%, 	0.400000%, 	1.704657%
2020-04-07 21:42:18, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33592432, 	0.36345894, 	0.329, 	4.491, 	2.104657%, 	0.400000%, 	1.704657%
2020-04-07 21:42:48, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33592433, 	4.491, 	0.329, 	15.79240322, 	2.104660%, 	0.400000%, 	1.704660%
2020-04-07 21:43:18, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33592445, 	0.36664176, 	0.329, 	4.493, 	2.104696%, 	0.400000%, 	1.704696%
2020-04-07 21:43:48, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33597666, 	3.8912197, 	0.329, 	4.493, 	2.120565%, 	0.400000%, 	1.720565%
2020-04-07 21:44:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33489465, 	4.33187, 	0.329, 	4.511, 	1.791687%, 	0.400000%, 	1.391687%
2020-04-07 21:44:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33502118, 	98.076884, 	0.329, 	4.511, 	1.830146%, 	0.400000%, 	1.430146%
2020-04-07 21:45:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33502129, 	4.507, 	0.329, 	4.511, 	1.830179%, 	0.400000%, 	1.430179%
2020-04-07 21:45:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33543674, 	13.669428, 	0.329, 	4.511, 	1.956456%, 	0.400000%, 	1.556456%
2020-04-07 21:46:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33502829, 	4.517, 	0.329, 	4.511, 	1.832307%, 	0.400000%, 	1.432307%
2020-04-07 21:46:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33505172, 	94.511838, 	0.329, 	4.511, 	1.839429%, 	0.400000%, 	1.439429%
2020-04-07 21:47:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33524839, 	41.983789, 	0.329, 	4.511, 	1.899207%, 	0.400000%, 	1.499207%
2020-04-07 21:47:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33524846, 	4.513, 	0.329, 	4.511, 	1.899228%, 	0.400000%, 	1.499228%
