2020-04-09 13:50:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.341e-05, 	15.53033068, 	7.266e-05, 	353.65525312, 	1.032205%, 	0.340000%, 	0.692205%
2020-04-09 13:50:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.341e-05, 	16.35211038, 	7.262e-05, 	51.472693, 	1.087855%, 	0.340000%, 	0.747855%
2020-04-09 13:50:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	16.72604609, 	7.262e-05, 	59.7738448, 	1.115395%, 	0.340000%, 	0.775395%
2020-04-09 13:50:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	17.62451236, 	7.262e-05, 	59.7738448, 	1.115395%, 	0.340000%, 	0.775395%
2020-04-09 13:51:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	18.59948001, 	7.26e-05, 	329.12030289, 	1.143251%, 	0.340000%, 	0.803251%
2020-04-09 13:51:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	18.59948001, 	7.259e-05, 	325.20166187, 	1.157184%, 	0.340000%, 	0.817184%
2020-04-09 13:51:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	19.57614631, 	7.257e-05, 	325.20166187, 	1.185063%, 	0.340000%, 	0.845063%
2020-04-09 13:51:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	15.45568329, 	7.257e-05, 	325.20166187, 	1.185063%, 	0.340000%, 	0.845063%
2020-04-09 13:52:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	20.47919597, 	7.257e-05, 	325.20166187, 	1.185063%, 	0.340000%, 	0.845063%
2020-04-09 13:52:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	15.2318009, 	7.257e-05, 	325.20166187, 	1.185063%, 	0.340000%, 	0.845063%
2020-04-09 13:52:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	15.53033068, 	7.256e-05, 	297.98315928, 	1.199008%, 	0.340000%, 	0.859008%
2020-04-09 13:52:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	15.90371721, 	7.252e-05, 	243.98964648, 	1.254826%, 	0.340000%, 	0.914826%
2020-04-09 13:53:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.342e-05, 	39.46320726, 	7.252e-05, 	8.3011518, 	1.241037%, 	0.340000%, 	0.901037%
2020-04-09 13:53:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	17.17509899, 	7.25e-05, 	326.20066682, 	1.296552%, 	0.340000%, 	0.956552%
2020-04-09 13:53:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	17.17509899, 	7.246e-05, 	47.920833, 	1.352470%, 	0.340000%, 	1.012470%
2020-04-09 13:53:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	18.52442224, 	7.17e-05, 	17.421175, 	2.426778%, 	0.340000%, 	2.086778%
2020-04-09 13:54:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	15.00800817, 	7.153e-05, 	68.165453, 	2.670208%, 	0.340000%, 	2.330208%
2020-04-09 13:54:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	15.08259579, 	7.153e-05, 	8.165453, 	2.670208%, 	0.340000%, 	2.330208%
2020-04-09 13:54:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	15.97842445, 	7.237e-05, 	8.16086618, 	1.478513%, 	0.340000%, 	1.138513%
2020-04-09 13:54:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	16.80086323, 	7.235e-05, 	183.20042468, 	1.506565%, 	0.340000%, 	1.166565%
2020-04-09 13:55:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	17.69944967, 	7.237e-05, 	8.16086618, 	1.478513%, 	0.340000%, 	1.138513%
2020-04-09 13:55:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.343e-05, 	50.98828578, 	7.237e-05, 	8.16086618, 	1.464695%, 	0.340000%, 	1.124695%
2020-04-09 13:55:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	18.89981159, 	7.237e-05, 	8.16086618, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:55:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	19.05003772, 	7.237e-05, 	8.16086618, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:56:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	20.02748953, 	7.237e-05, 	8.16086618, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:56:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	39.4524602, 	7.237e-05, 	8.16086618, 	1.478513%, 	0.340000%, 	1.138513%
2020-04-09 13:56:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	39.4524602, 	7.237e-05, 	8.16086618, 	1.478513%, 	0.340000%, 	1.138513%
2020-04-09 13:56:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	39.4524602, 	7.237e-05, 	8.16086618, 	1.478513%, 	0.340000%, 	1.138513%
2020-04-09 13:57:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.344e-05, 	39.4524602, 	7.237e-05, 	8.16086618, 	1.478513%, 	0.340000%, 	1.138513%
2020-04-09 13:57:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.346e-05, 	19.50095773, 	7.237e-05, 	7.47360134, 	1.506149%, 	0.340000%, 	1.166149%
2020-04-09 13:57:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:57:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:58:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:58:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:58:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:58:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.346e-05, 	18.59948001, 	7.237e-05, 	7.47360134, 	1.506149%, 	0.340000%, 	1.166149%
2020-04-09 13:59:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:59:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:59:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 13:59:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 14:00:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.345e-05, 	50.97155002, 	7.237e-05, 	7.47360134, 	1.492331%, 	0.340000%, 	1.152331%
2020-04-09 14:00:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.237e-05, 	7.47360134, 	1.409424%, 	0.340000%, 	1.069424%
2020-04-09 14:00:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.237e-05, 	7.47360134, 	1.409424%, 	0.340000%, 	1.069424%
2020-04-09 14:00:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.237e-05, 	7.47360134, 	1.409424%, 	0.340000%, 	1.069424%
2020-04-09 14:01:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.237e-05, 	7.47360134, 	1.409424%, 	0.340000%, 	1.069424%
2020-04-09 14:01:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.237e-05, 	7.47360134, 	1.409424%, 	0.340000%, 	1.069424%
2020-04-09 14:01:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.237e-05, 	7.47360134, 	1.409424%, 	0.340000%, 	1.069424%
2020-04-09 14:01:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.237e-05, 	7.47360134, 	1.409424%, 	0.340000%, 	1.069424%
2020-04-09 14:02:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.255e-05, 	8.2800027, 	1.157822%, 	0.340000%, 	0.817822%
2020-04-09 14:02:17, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.255e-05, 	8.2800027, 	1.157822%, 	0.340000%, 	0.817822%
2020-04-09 14:02:32, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.255e-05, 	8.2800027, 	1.157822%, 	0.340000%, 	0.817822%
2020-04-09 14:02:47, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.339e-05, 	6.94917563, 	7.255e-05, 	8.2800027, 	1.157822%, 	0.340000%, 	0.817822%
2020-04-09 14:03:02, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.198e-05, 	24.36477549, 	7.255e-05, 	8.2800027, 	-0.785665%, 	0.340000%, 	-1.125665%
2020-04-09 14:18:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.284e-05, 	26.38463423, 	7.237e-05, 	340.03915136, 	0.649440%, 	0.340000%, 	0.309440%
2020-04-09 14:18:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.284e-05, 	26.38463423, 	7.237e-05, 	340.03915136, 	0.649440%, 	0.340000%, 	0.309440%
2020-04-09 14:18:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.284e-05, 	27.22245317, 	7.237e-05, 	340.03915136, 	0.649440%, 	0.340000%, 	0.309440%
2020-04-09 14:18:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.284e-05, 	27.22245317, 	7.237e-05, 	340.03915136, 	0.649440%, 	0.340000%, 	0.309440%
2020-04-09 14:19:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.284e-05, 	23.49988727, 	7.237e-05, 	113.78927107, 	0.649440%, 	0.340000%, 	0.309440%
2020-04-09 14:19:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.286e-05, 	24.25760088, 	7.237e-05, 	113.78927107, 	0.677076%, 	0.340000%, 	0.337076%
2020-04-09 14:19:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.286e-05, 	25.472066, 	7.237e-05, 	1.8693364, 	0.677076%, 	0.340000%, 	0.337076%
2020-04-09 14:19:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.286e-05, 	25.472066, 	7.236e-05, 	342.54887896, 	0.690989%, 	0.340000%, 	0.350989%
2020-04-09 14:20:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.286e-05, 	23.34846682, 	7.236e-05, 	342.54887896, 	0.690989%, 	0.340000%, 	0.350989%
2020-04-09 14:20:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.287e-05, 	24.18178364, 	7.247e-05, 	400.0, 	0.551953%, 	0.340000%, 	0.211953%
2020-04-09 14:20:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.287e-05, 	24.18178364, 	7.247e-05, 	400.0, 	0.551953%, 	0.340000%, 	0.211953%
2020-04-09 14:20:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.287e-05, 	25.39608524, 	7.245e-05, 	400.0, 	0.579710%, 	0.340000%, 	0.239710%
