2020-04-08 21:09:30, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	10655.94093315, 	1.31e-06, 	3090.7247752, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-08 21:09:45, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	10655.94093315, 	1.32e-06, 	1381.2669714, 	0.000000%, 	0.340000%, 	-0.340000%
2020-04-09 00:32:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:32:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:32:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:33:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:33:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:33:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:33:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:34:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:34:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:34:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:34:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:35:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:35:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:35:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:35:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:36:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:36:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:36:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:36:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:37:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:37:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:37:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:37:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1726.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:38:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:38:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:38:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:38:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:39:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:39:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:39:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:39:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:06, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:21, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:36, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
2020-04-09 00:40:51, 	Bittrex     , 	Poloniex    , 	NXT/BTC, 	1.32e-06, 	1347.70934315, 	1.31e-06, 	83.42017799, 	0.763359%, 	0.340000%, 	0.423359%
