2020-04-09 18:44:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:44:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:44:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:44:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:45:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:45:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:45:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:45:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:46:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:46:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:46:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:46:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:47:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:47:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:47:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:47:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145002, 	111232.46821395, 	0.00144399, 	1409.95294015, 	0.417593%, 	0.340000%, 	0.077593%
2020-04-09 18:48:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:48:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:48:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:48:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:49:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:49:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:49:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:49:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:50:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:50:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:50:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:50:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:51:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:51:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:51:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:51:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:52:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:52:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:52:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:52:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:53:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:53:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:53:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:53:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:54:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:54:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:54:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:54:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:55:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:55:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:55:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:55:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:56:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:56:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:56:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:56:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:57:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:57:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:57:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:57:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:58:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:58:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:58:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:58:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:59:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:59:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:59:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 18:59:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:00:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:00:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:00:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:00:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:01:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:01:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:01:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:01:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:02:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:02:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:02:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:02:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:03:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:03:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:03:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:03:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:04:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:04:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:04:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:04:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:05:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:05:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:05:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	12234.86731023, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
