2020-04-09 10:32:33, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.549, 	1236.4, 	2.52, 	5.69e-06, 	1.150794%, 	0.700000%, 	0.450794%
2020-04-09 10:32:48, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.552, 	1228.6, 	2.52, 	5.69e-06, 	1.269841%, 	0.700000%, 	0.569841%
2020-04-09 10:33:03, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.556, 	1233.5, 	2.5388, 	6.15481423, 	0.677485%, 	0.700000%, 	-0.022515%
2020-04-10 20:08:05, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.339, 	1182.0, 	2.3198, 	5.42061106, 	0.827658%, 	0.700000%, 	0.127658%
2020-04-10 20:08:20, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.339, 	1182.0, 	2.3198, 	5.42061106, 	0.827658%, 	0.700000%, 	0.127658%
2020-04-10 20:08:35, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.339, 	1182.0, 	2.3198, 	5.42061106, 	0.827658%, 	0.700000%, 	0.127658%
2020-04-10 20:08:50, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.339, 	1182.0, 	2.3198, 	5.42061106, 	0.827658%, 	0.700000%, 	0.127658%
2020-04-10 20:09:05, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.339, 	1182.0, 	2.3198, 	5.42061106, 	0.827658%, 	0.700000%, 	0.127658%
2020-04-10 20:09:20, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.337, 	1531.1, 	2.3198, 	5.42061106, 	0.741443%, 	0.700000%, 	0.041443%
2020-04-10 20:09:35, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.337, 	1530.9, 	2.3198, 	5.42061106, 	0.741443%, 	0.700000%, 	0.041443%
2020-04-10 20:09:50, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.337, 	1530.9, 	2.3198, 	5.42061106, 	0.741443%, 	0.700000%, 	0.041443%
2020-04-10 20:10:05, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.337, 	1530.9, 	2.3198, 	5.42061106, 	0.741443%, 	0.700000%, 	0.041443%
2020-04-10 20:10:20, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.337, 	1530.9, 	2.3198, 	5.42061106, 	0.741443%, 	0.700000%, 	0.041443%
2020-04-10 20:10:35, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.337, 	281.1, 	2.3198, 	5.42061106, 	0.741443%, 	0.700000%, 	0.041443%
2020-04-10 20:10:50, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.337, 	281.1, 	2.3198, 	5.42061106, 	0.741443%, 	0.700000%, 	0.041443%
2020-04-10 20:11:05, 	Coinbase Pro, 	Bitfinex    , 	ATOM/USD, 	2.334, 	2375.0, 	2.3198, 	5.42061106, 	0.612122%, 	0.700000%, 	-0.087878%
